q,n,m,target_mode,status,stage_completed,first_fall_degree,degree_of_regularity,solving_degree,solving_minus_first_fall,known_solution_verified,case_timeout_seconds,column_ceiling,core_degrees,core_equation_count,core_term_counts,curve_a_coordinates,curve_b_coordinates,degree_ceiling,elapsed_seconds,engine,engine_version,field_equations_in_solving_system,first_fall_status,function_reduction,gb_max_degree,gb_size,known_solution,max_macaulay_columns,max_macaulay_rank,modulus,order,platform,python_version,regularity_status,row_ceiling,solving_status,source_file,target_coordinates
3,2,2,external,complete,solving_degree,4,4,4,0,,30.0,8000,4;3,2,7;4,0;1,1;0,16,0.024735,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 2, trivial rank 0",x_i^q=x_i applied to core during construction,0,1,,15,15,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 5 columns,30000,exact: Gröbner basis contained at cutoff 4,measure_weil_degrees_20260701.csv,0;1
3,2,2,known,complete,solving_degree,4,4,4,0,True,30.0,8000,4;3,2,6;7,0;1,1;0,16,0.02197,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 2, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;2,15,13,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 5 columns,30000,exact: Gröbner basis contained at cutoff 4,measure_weil_degrees_20260701.csv,1;1
3,2,3,external,complete,solving_degree,6,6,6,0,,30.0,8000,6;5,2,20;17,0;1,1;0,16,1.783472,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 3, trivial rank 0",x_i^q=x_i applied to core during construction,1,3,,84,83,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 28 columns,30000,exact: Gröbner basis contained at cutoff 6,measure_weil_degrees_20260701.csv,0;1
3,2,3,known,complete,solving_degree,6,5,6,0,True,30.0,8000,6;4,2,23;19,0;1,1;0,16,1.173358,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 6, trivial rank 0",x_i^q=x_i applied to core during construction,2,4,0;0;2,84,81,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 21 columns,30000,exact: Gröbner basis contained at cutoff 6,measure_weil_degrees_20260701.csv,2;2
3,2,4,external,complete,solving_degree,8,8,8,0,,60.0,12000,8;8,2,50;67,0;1,1;0,16,7.473826,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,3,7,,495,485,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 165 columns,50000,exact: Gröbner basis contained at cutoff 8,measure_weil_degrees_q3_m4_20260701.csv,0;1
3,2,4,known,complete,solving_degree,8,8,8,0,True,60.0,12000,8;8,2,32;43,0;1,1;0,16,6.981388,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,3,7,0;0;0;2,495,486,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 165 columns,50000,exact: Gröbner basis contained at cutoff 8,measure_weil_degrees_q3_m4_20260701.csv,1;2
3,3,2,external,complete,solving_degree,3,3,3,0,,30.0,8000,4;2;3,3,6;2;7,0;1;0,1;0;0,16,0.020438,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,1,2,,10,9,1;0;2;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 4 columns,30000,exact: Gröbner basis contained at cutoff 3,measure_weil_degrees_20260701.csv,0;0;1
3,3,2,known,complete,solving_degree,3,4,4,1,True,30.0,8000,4;3;3,3,6;5;2,0;1;0,1;0;0,16,0.029944,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;2,15,13,1;0;2;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 5 columns,30000,exact: Gröbner basis contained at cutoff 4,measure_weil_degrees_20260701.csv,0;2;1
3,3,3,external,complete,solving_degree,5,6,6,1,,30.0,8000,6;5;5,3,21;11;17,0;1;0,1;0;0,16,1.506816,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,0,1,,84,84,1;0;2;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 28 columns,30000,exact: Gröbner basis contained at cutoff 6,measure_weil_degrees_20260701.csv,0;0;1
3,3,3,known,complete,solving_degree,5,5,5,0,True,30.0,8000,6;4;5,3,17;16;7,0;1;0,1;0;0,16,0.254819,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,6,0;0;2,56,52,1;0;2;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 21 columns,30000,exact: Gröbner basis contained at cutoff 5,measure_weil_degrees_20260701.csv,1;0;2
3,3,4,external,complete,solving_degree,8,8,8,0,,60.0,12000,8;8;8,3,36;71;41,0;1;0,1;0;0,16,5.401647,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 2, trivial rank 0",x_i^q=x_i applied to core during construction,3,18,,495,478,1;0;2;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 165 columns,50000,exact: Gröbner basis contained at cutoff 8,measure_weil_degrees_q3_m4_20260701.csv,0;0;1
3,3,4,known,complete,solving_degree,8,8,8,0,True,60.0,12000,8;8;8,3,36;71;41,0;1;0,1;0;0,16,5.684647,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 2, trivial rank 0",x_i^q=x_i applied to core during construction,3,18,0;0;0;2,495,478,1;0;2;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 165 columns,50000,exact: Gröbner basis contained at cutoff 8,measure_weil_degrees_q3_m4_20260701.csv,0;0;1
5,2,2,external,complete,solving_degree,5,5,5,0,,45.0,12000,4;3,2,7;8,0;1,1;0,20,0.032661,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,0,1,,21,21,1;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 6 columns,50000,exact: Gröbner basis contained at cutoff 5,measure_weil_degrees_q5_20260701.csv,0;3
5,2,2,known,complete,solving_degree,5,5,5,0,True,45.0,12000,4;3,2,9;6,0;1,1;0,20,0.030565,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,3,3,0;3,21,17,1;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 6 columns,50000,exact: Gröbner basis contained at cutoff 5,measure_weil_degrees_q5_20260701.csv,2;4
