bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
12,1,4093,1,2,144,3,1728,10,1,7,3978,17,3978,1,-3,1,9,-127,4221,67,0.1501999795436859
12,1,4093,1,3,1728,3,1728,10,1,9,3978,17,3978,1,-3,1,9,-127,4221,67,0.1501999795436859
12,2,4091,11,2,144,3,1728,1,1,1,4092,31,4092,1,-19,1,25,67,4025,23,0.048200017772614956
12,2,4091,11,3,1728,3,1728,1,1,1,4092,31,4092,1,-8,1,41,-54,4146,691,0.048200017772614956
12,3,4079,11,2,144,3,1728,1,1,1,4080,17,4080,1,-11,1,34,-60,4140,23,0.027400092221796513
12,3,4079,11,3,1726,3,1728,1,1,1,4080,17,4080,1,-11,1,34,-60,4140,23,0.027400092221796513
12,4,4073,5,2,144,3,1728,5,1,3,4000,5,4000,1,-4,1,52,74,4000,5,0.04030007403343916
12,4,4073,5,3,1725,3,1728,5,1,4,4000,5,3970,1,-4,1,52,74,4000,5,0.04030007403343916
12,5,4057,1,2,144,3,1728,10,1,3,4032,7,3937,1,-3,1,72,26,4032,7,0.0657000346109271
12,5,4057,1,3,1723,3,1728,10,1,8,4032,7,3937,1,-3,1,72,26,4032,7,0.0657000346109271
12,6,4051,7,2,144,3,1728,7,1,3,4123,31,3996,1,-3,1,66,56,3996,37,0.04299997817724943
12,6,4051,7,3,1722,3,1728,7,1,7,4123,31,3925,1,-3,1,66,56,3996,37,0.04299997817724943
12,7,4049,5,2,144,3,1728,5,1,3,4050,5,4050,1,-4,1,55,-64,4114,17,0.03599992487579584
12,7,4049,5,3,1721,3,1728,5,1,4,4050,5,3940,1,-4,1,55,-64,4114,17,0.03599992487579584
12,8,4027,7,2,144,3,1728,7,1,4,3913,43,3913,1,-3,1,42,104,3924,109,0.04700000863522291
12,8,4027,7,3,1718,3,1728,7,1,7,3913,43,3913,1,-3,1,42,104,3924,109,0.04700000863522291
12,9,4021,1,2,144,3,1728,10,1,5,3900,13,3900,1,-3,1,20,122,3900,13,0.058399979025125504
12,9,4021,1,3,1717,3,1728,10,1,9,3900,13,3900,1,-3,1,20,122,3900,13,0.058399979025125504
12,10,4019,11,2,144,3,1728,1,1,1,4020,67,4020,1,-7,1,10,-124,4144,37,0.02320006024092436
12,10,4019,11,3,1717,3,1728,1,1,1,4020,67,4020,1,-7,1,10,-124,4144,37,0.02320006024092436
12,11,4013,5,2,144,3,1728,5,1,1,4040,101,4040,1,-4,1,62,-26,4040,101,0.035199918784201145
12,11,4013,5,3,1716,3,1728,5,1,4,4040,101,3890,1,-4,1,62,26,3988,997,0.035199918784201145
12,12,4007,11,2,144,3,1728,1,0,0,4008,167,,1,-11,1,38,12,3996,37,0.024799956008791924
12,12,4007,11,3,1715,3,1728,1,1,1,4008,167,4008,1,-11,1,38,12,3996,37,0.024799956008791924
12,13,4003,7,2,144,3,1728,7,1,4,4116,7,3892,1,-3,1,34,112,3892,139,0.04299997817724943
12,13,4003,7,3,1714,3,1728,7,1,6,4116,7,3892,1,-3,1,34,112,3892,139,0.04299997817724943
12,14,4001,5,2,144,3,1728,5,1,4,4002,29,3904,1,-4,1,40,98,3904,61,0.035100034438073635
12,14,4001,5,3,1714,3,1728,5,1,5,4002,29,3904,1,-4,1,40,98,3904,61,0.035100034438073635
12,15,3989,5,2,144,3,1728,5,1,2,3990,19,3990,1,-4,1,58,-50,4040,101,0.03409991040825844
12,15,3989,5,3,1712,3,1728,5,1,4,3990,19,3874,1,-4,1,25,116,3874,149,0.03409991040825844
12,16,3967,7,2,143,3,1728,7,1,4,3968,31,3843,1,-3,1,58,76,3892,139,0.04279997665435076
12,16,3967,7,3,1709,3,1728,7,1,5,3968,31,3843,1,-3,1,58,-76,4044,337,0.04279997665435076
12,17,3947,11,2,143,3,1728,1,1,1,3948,47,3948,1,-11,1,37,-27,3975,53,0.032400013878941536
