bits,smoothness_exponent,order_bound,discriminant_bound,primes,explicit_successes,explicit_rate,explicit_wilson_95_low,explicit_wilson_95_high,bounded_cm_successes,bounded_cm_rate,bounded_cm_wilson_95_low,bounded_cm_wilson_95_high,median_min_discriminant,max_min_discriminant,median_class_number,max_class_number,mean_measurement_ms,total_measurement_s,full_runtime_s
12,2,144,1728,32,30,0.9375,0.7985287685584542,0.982689432968359,32,1.0,0.8928208017449293,1.0,4.0,31,1.0,3,0.044518743379740044,0.0014245997881516814,3.279668499948457
12,3,1728,1728,32,32,1.0,0.8928208017449293,1.0,32,1.0,0.8928208017449293,1.0,4.0,19,1.0,1,0.044518743379740044,0.0014245997881516814,3.279668499948457
16,2,256,4096,32,29,0.90625,0.7578184527161212,0.9675984487016337,32,1.0,0.8928208017449293,1.0,3.0,23,1.0,3,0.0961812402238138,0.0030777996871620417,3.279668499948457
16,3,4096,4096,32,31,0.96875,0.8425573617998744,0.9944621398359969,32,1.0,0.8928208017449293,1.0,3.0,23,1.0,3,0.0961812402238138,0.0030777996871620417,3.279668499948457
20,2,400,8000,32,23,0.71875,0.5462549057408342,0.8443541950225723,32,1.0,0.8928208017449293,1.0,4.0,104,1.0,6,0.170334373251535,0.00545069994404912,3.279668499948457
20,3,8000,8000,32,29,0.90625,0.7578184527161212,0.9675984487016337,32,1.0,0.8928208017449293,1.0,3.0,67,1.0,1,0.170334373251535,0.00545069994404912,3.279668499948457
24,2,576,13824,32,22,0.6875,0.5143332169904459,0.8204745836639026,32,1.0,0.8928208017449293,1.0,4.0,1208,1.0,12,0.4414781287778169,0.01412730012089014,3.279668499948457
24,3,13824,13824,32,30,0.9375,0.7985287685584542,0.982689432968359,32,1.0,0.8928208017449293,1.0,3.5,35,1.0,3,0.4414781287778169,0.01412730012089014,3.279668499948457
28,2,784,21952,32,9,0.28125,0.15564580497742764,0.45374509425916565,32,1.0,0.8928208017449293,1.0,43.0,3547,1.5,15,1.326471861830214,0.04244709957856685,3.279668499948457
28,3,21952,21952,32,26,0.8125,0.6469084479862404,0.9111045531043405,32,1.0,0.8928208017449293,1.0,4.0,239,1.0,15,1.326471861830214,0.04244709957856685,3.279668499948457
32,2,1024,32768,32,7,0.21875,0.11023836252604186,0.3875499364924353,31,0.96875,0.8425573617998744,0.9944621398359969,68,12871,4,90,11.129106242151465,0.3561313997488469,3.279668499948457
32,3,32768,32768,32,25,0.78125,0.6124500635075647,0.8897616374739581,32,1.0,0.8928208017449293,1.0,4.0,67,1.0,3,11.129106242151465,0.3561313997488469,3.279668499948457
36,2,1296,46656,32,5,0.15625,0.0686442028250571,0.3175414959753039,32,1.0,0.8928208017449293,1.0,199.0,25883,3.0,68,19.373046863620402,0.6199374996358529,3.279668499948457
36,3,46656,46656,32,17,0.53125,0.3644951711897464,0.6913061289193116,32,1.0,0.8928208017449293,1.0,7.5,139,1.0,5,19.373046863620402,0.6199374996358529,3.279668499948457
40,2,1600,64000,32,1,0.03125,0.005537860164003122,0.15744263820012558,30,0.9375,0.7985287685584542,0.982689432968359,619.0,29683,9.0,112,67.50633124829619,2.160202599945478,3.279668499948457
40,3,64000,64000,32,16,0.5,0.33630882869327483,0.6636911713067252,32,1.0,0.8928208017449293,1.0,13.5,379,1.0,8,67.50633124829619,2.160202599945478,3.279668499948457
