bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
32,1,4294967291,11,3,32768,2,1024,1,1,1,4294967292,331,4294967292,1,-43,1,4931,-127021,4295094313,19801,1.3286999892443419
32,2,4294967279,11,3,32768,2,1024,1,1,1,4294967280,127,4294967280,1,-11,1,23966,104220,4294863060,3877,0.17799995839595795
32,3,4294967231,11,3,32768,2,1024,1,1,1,4294967232,8191,4294967232,1,-7,1,25210,112832,4294854400,179,0.2074999501928687
32,4,4294967197,1,3,32768,2,1024,10,1,2,4294878850,163,4294878850,1,-4,1,48411,88348,4294878850,163,0.714199966751039
32,5,4294967189,5,3,32768,2,1024,5,0,0,4295092100,34061,,1,-7,1,39860,-77834,4295045024,1201,0.458399998024106
32,6,4294967161,1,3,32768,2,1024,10,1,4,4294993050,2909,4294836900,1,-3,1,8400,130262,4294836900,19801,0.7462999783456326
32,7,4294967143,7,3,32768,2,1024,7,1,1,4294967144,7321,4294967144,1,-19,1,19363,-100281,4295067425,17,1.2246000114828348
32,8,4294967111,11,3,32768,2,1024,1,0,0,4294967112,182423,,1,-7,1,26990,109912,4294857200,5807,0.11500006075948477
32,9,4294967087,11,3,32768,2,1024,1,0,0,4294967088,1132639,,1,-11,1,37627,40077,4294927011,883,0.26659993454813957
32,10,4294967029,1,3,32768,2,1024,10,0,0,4295098101,123433,,1,-11,1,37659,-39745,4295006775,521,0.9825000306591392
32,11,4294966997,5,3,32768,2,1024,5,1,2,4295090596,409,4294966998,1,-4,1,21814,-123598,4295090596,409,0.3515999997034669
32,12,4294966981,1,3,32768,2,1024,10,1,3,4294995464,20873,4294842300,1,-3,1,50671,-97351,4295064333,27823,0.747899990528822
32,13,4294966943,11,3,32768,2,1024,1,1,1,4294966944,9151,4294966944,1,-7,1,13478,-126128,4295093072,5443,0.24670001585036516
