bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
40,1,1099511627689,1,2,1600,4,2560000,10,0,0,1099509536713,15889,,1,-123,2,173808,826022,1099510801668,977,9.441399946808815
40,2,1099511627609,5,2,1600,4,2560000,5,0,0,1099511627610,1707767,,1,-20,2,463367,322284,1099511305326,601,1.9366000778973103
40,3,1099511627581,1,2,1600,4,2560000,10,0,0,1099512221314,5669,,1,-583,8,44564,1800066,1099509827516,683,15.73630003258586
40,4,1099511627573,5,2,1600,4,2560000,5,0,0,1099511627574,56569,,1,-72991,180,7396,636694,1099510990880,463,638.2758000399917
40,5,1099511627563,7,2,1600,4,2560000,7,0,0,1099510361157,106591,,1,-25243,17,6142,-1856280,1099513483844,1433,155.8960999827832
40,6,1099511627491,7,2,1600,4,2560000,7,0,0,1099511627492,17401,,1,-579,8,34035,-1930633,1099513558125,887,10.336600011214614
40,7,1099511627483,11,2,1600,4,2560000,1,0,0,1099511627484,317459,,1,-307,3,54058,1871072,1099509756412,317,3.7837999407202005
40,8,1099511627477,5,2,1600,4,2560000,5,0,0,1099510406770,74521,,1,-19124,112,7826,-1796322,1099513423800,1033,155.37950000725687
40,9,1099511627387,11,2,1600,4,2560000,1,0,0,1099511627388,19828169,,1,-455783,631,466,2073420,1099509553968,727,2676.2524000369012
40,10,1099511627339,11,2,1600,4,2560000,1,0,0,1099511627340,19183,,1,-1160,20,26225,1897434,1099509729906,1571,12.336499989032745
40,11,1099511627321,5,2,1600,4,2560000,5,0,0,1099511627322,49157,,1,-2180,32,6100,2077722,1099509549600,79,48.33440005313605
40,12,1099511627309,5,2,1600,4,2560000,5,0,0,1099511627310,1635229,,1,-259,4,62852,-1837090,1099513464400,797,8.213000022806227
40,13,1099511627297,5,2,1600,4,2560000,5,0,0,1099513644226,197641,,1,-424,6,101456,-183518,1099511810816,953,7.678600028157234
40,14,1099511627293,1,2,1600,4,2560000,10,0,0,1099510467724,2239,,1,-123,2,83076,1883918,1099509743376,433,4.488899954594672
40,15,1099511627261,5,2,1600,4,2560000,5,0,0,1099511948762,58733,,1,-4999,33,29620,110462,1099511516800,1297,75.92850003857166
40,16,1099511627213,5,2,1600,4,2560000,5,0,0,1099509577160,130409,,1,-7444,38,19618,1238186,1099510389028,1109,101.52490006294101
40,17,1099511627191,7,2,1600,4,2560000,7,0,0,1099513122988,29131,,1,-23,3,386994,-976456,1099512603648,179,2.0195000106468797
40,18,1099511627177,5,2,1600,4,2560000,5,0,0,1099512273730,8369,,1,-2071,30,25112,-1758422,1099513385600,151,31.779499957337976
40,19,1099511627173,1,2,1600,4,2560000,10,0,0,1099510508018,51449,,1,-31,3,373604,-266586,1099511893760,293,3.472300013527274
40,20,1099511627143,7,2,1600,4,2560000,7,0,0,1099509551364,5179,,1,-29683,27,9369,-1338853,1099512965997,1549,232.9792999662459
40,21,1099511627089,1,2,1600,4,2560000,10,0,0,1099513173837,421711,,1,-1608,16,24958,1842938,1099509784152,571,60.18129992298782
40,22,1099511626987,7,2,1600,4,2560000,7,0,0,1099511626988,1329499,,1,-159,10,95094,-1720532,1099513347520,659,5.8253000024706125
40,23,1099511626949,5,2,1600,4,2560000,5,0,0,1099513721480,14669,,1,-655,12,196,-2097146,1099513724096,631,16.82629995048046
40,24,1099511626937,5,2,1600,4,2560000,5,1,1,1099512649700,853,1099512649700,1,-4,1,915424,-1022762,1099512649700,853,0.9926999919116497
40,25,1099511626793,5,2,1600,4,2560000,5,0,0,1099511626794,4058107,,1,-4619,36,29528,608874,1099511017920,953,68.22809996083379
40,26,1099511626781,5,2,1600,4,2560000,5,0,0,1099513498250,15361,,1,-59,3,81185,2002293,1099509624489,631,3.565700026229024
40,27,1099511626771,7,2,1600,4,2560000,7,0,0,1099512221556,15733,,1,-331,3,44883,1931645,1099509695127,1019,12.204299913719296
40,28,1099511626727,11,2,1600,4,2560000,1,0,0,1099511626728,90659,,1,-907,3,34406,-1823284,1099513450012,839,12.329599936492741
40,29,1099511626691,11,2,1600,4,2560000,1,0,0,1099511626692,91625968891,,1,-8,1,672191,885054,1099510741638,1201,0.5183999892324209
40,30,1099511626559,11,2,1600,4,2560000,1,0,0,1099511626560,1145324611,,1,-2623,22,1858,2094992,1099509531568,977,24.724400020204484
40,31,1099511626541,5,2,1600,4,2560000,5,0,0,1099513419250,111521,,1,-8459,42,13595,-1683633,1099513310175,821,107.3944999370724
40,32,1099511626469,5,2,1600,4,2560000,5,0,0,1099510910290,1088657,,1,-4759,55,23180,-1356826,1099512983296,113,73.87550000566989
40,33,1099511626453,1,2,1600,4,2560000,10,0,0,1099512456069,215587,,1,-17971,21,10164,-1594214,1099513220668,1571,234.37159997411072
40,34,1099511626441,1,2,1600,4,2560000,10,1,1,1099510573525,757,1099510573525,1,-3,1,1047125,1052917,1099510573525,757,3.5436999751254916
40,35,1099511626399,7,2,1600,4,2560000,7,0,0,1099511268961,2269,,1,-667,4,33150,-1914436,1099513540836,727,16.37749990914017
40,36,1099511626397,5,2,1600,4,2560000,5,0,0,1099509530696,98953,,1,-98947,47,1559,2039009,1099509587389,1447,1020.786099950783
40,37,1099511626321,1,2,1600,4,2560000,10,0,0,1099509932388,217003,,1,-291,4,28720,2039122,1099509587200,359,16.950200079008937
40,38,1099511626309,1,2,1600,4,2560000,10,0,0,1099511767683,43411,,1,-395,8,84429,-1257929,1099512884239,1093,14.23369999974966
40,39,1099511626307,11,2,1600,4,2560000,1,0,0,1099511626308,511876921,,1,-83287,142,1846,2028356,1099509597952,739,529.1306000435725
40,40,1099511626277,5,2,1600,4,2560000,5,0,0,1099513662890,12577,,1,-43,1,158188,-1822646,1099513448924,821,2.863900037482381
40,41,1099511626267,7,2,1600,4,2560000,7,0,0,1099513387308,1609,,1,-347,5,112338,137720,1099511488548,827,6.876500090584159
40,42,1099511626223,11,2,1600,4,2560000,1,0,0,1099511626224,2127077,,1,-1583,33,16514,-1991568,1099513617792,1361,18.670300021767616
40,43,1099511626133,5,2,1600,4,2560000,5,0,0,1099511250760,198409,,1,-19,1,242173,-1812109,1099513438243,263,2.7888999320566654
40,44,1099511626099,7,2,1600,4,2560000,7,0,0,1099511626100,13007,,1,-2503,21,41782,168732,1099511457368,1429,39.70689990092069
40,45,1099511626079,11,2,1600,4,2560000,1,0,0,1099511626080,327235603,,1,-10151,93,8054,1933800,1099509692280,509,81.50309999473393
