bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
44,1,17592186044399,11,2,1936,3,85184,1,0,0,17592186044400,61681,,1,-8243,21,91462,-1188948,17592187233348,1429,78.53940001223236
44,1,17592186044399,11,3,85184,3,85184,1,1,1,17592186044400,61681,17592186044400,1,-19,1,1920397,-546055,17592186590455,35591,78.53940001223236
44,2,17592186044299,7,2,1936,3,85184,7,0,0,17592186589588,62053,,1,-607,13,45866,-8312148,17592194356448,947,17.157900030724704
44,2,17592186044299,7,3,85184,3,85184,7,1,1,17592186589588,62053,17592186589588,1,-3,1,4832922,-545288,17592186589588,62053,17.157900030724704
44,3,17592186044297,5,2,1936,3,85184,5,0,0,17592177705296,8893,,1,-37351,156,42728,-1475702,17592187520000,1213,477.74240002036095
44,3,17592186044297,5,3,85184,3,85184,5,1,1,17592177705296,8893,17592177705296,1,-4,1,455464,8339002,17592177705296,8893,477.74240002036095
44,4,17592186044287,7,2,1936,3,85184,7,0,0,17592179859237,1081687,,1,-683,5,55278,-8263276,17592194307564,941,11.655000038444996
44,4,17592186044287,7,3,85184,3,85184,7,0,0,17592179859237,1081687,,1,-43,1,214578,-8269756,17592194314044,12781,11.655000038444996
44,5,17592186044273,5,2,1936,3,85184,5,1,1,17592178604048,919,17592178604048,1,-4,1,1937252,7440226,17592178604048,919,0.7816000143066049
44,5,17592186044273,5,3,85184,3,85184,5,1,2,17592178604048,919,17592178604048,1,-4,1,1937252,7440226,17592178604048,919,0.7816000143066049
44,6,17592186044267,11,2,1936,3,85184,1,0,0,17592186044268,1925899,,1,-15176,80,50063,5686218,17592180358050,829,113.93230000976473
44,6,17592186044267,11,3,85184,3,85184,1,0,0,17592186044268,1925899,,1,-2056,16,184067,842678,17592185201590,14951,113.93230000976473
44,7,17592186044129,5,2,1936,3,85184,5,0,0,17592193097680,98017,,1,-4267,8,126976,-1253918,17592187298048,271,82.35460007563233
44,7,17592186044129,5,3,85184,3,85184,5,0,0,17592193097680,98017,,1,-11,1,278416,-8337630,17592194381760,84659,82.35460007563233
44,8,17592186044089,1,2,1936,3,85184,10,0,0,17592193946340,6709,,1,-12932,56,10371,-8305288,17592194349378,1733,278.7948999321088
44,8,17592186044089,1,3,85184,3,85184,10,1,1,17592193946340,6709,17592193946340,1,-4,1,1407408,-7902250,17592193946340,6709,278.7948999321088
44,9,17592186044057,5,2,1936,3,85184,5,0,0,17592192962020,148633,,1,-15659,60,47489,5920683,17592180123375,1907,186.26190000213683
44,9,17592186044057,5,3,85184,3,85184,5,0,0,17592192962020,148633,,1,-659,11,83944,-8107098,17592194151156,4157,186.26190000213683
44,10,17592186044039,11,2,1936,3,85184,1,0,0,17592186044040,288018763,,1,-2872,12,137395,-4019066,17592190063106,449,28.42640003655106
44,10,17592186044039,11,3,85184,3,85184,1,0,0,17592186044040,288018763,,1,-43,1,1129427,-3939253,17592189983293,33191,28.42640003655106
44,11,17592186043987,7,2,1936,3,85184,7,0,0,17592181166079,818017,,1,-2587,8,93659,-6904749,17592192948737,257,35.28840001672506
44,11,17592186043987,7,3,85184,3,85184,7,0,0,17592181166079,818017,,1,-19,1,815554,-7598112,17592193642100,21419,35.28840001672506
44,12,17592186043921,1,2,1936,3,85184,10,0,0,17592177656250,128969,,1,-40,2,21184,-8387538,17592194431460,331,4.599400097504258
44,12,17592186043921,1,3,85184,3,85184,10,0,0,17592177656250,128969,,1,-8,1,1459494,-7302586,17592193346508,25457,4.599400097504258
44,13,17592186043889,5,2,1936,3,85184,5,0,0,17592182320960,79790377,,1,-115,2,733159,-2924671,17592188968561,1451,6.63610000628978
44,13,17592186043889,5,3,85184,3,85184,5,0,0,17592182320960,79790377,,1,-20,2,495832,8090226,17592177953664,3343,6.63610000628978
44,14,17592186043877,5,2,1936,3,85184,5,0,0,17592180265010,61861,,1,-1819,10,10129,-8377477,17592194421355,823,26.376700028777122
44,14,17592186043877,5,3,85184,3,85184,5,1,1,17592180265010,61861,17592180265010,1,-4,1,3040289,5778868,17592180265010,61861,26.376700028777122
44,15,17592186043841,5,2,1936,3,85184,5,0,0,17592187325050,25033,,1,-1460,20,212804,2062002,17592183981840,613,28.74630002770573
44,15,17592186043841,5,3,85184,3,85184,5,1,1,17592187325050,25033,17592187325050,1,-4,1,4145095,-1281208,17592187325050,25033,28.74630002770573
44,16,17592186043829,5,2,1936,3,85184,5,0,0,17592178741540,10133,,1,-5227,15,69025,-6742771,17592192786601,593,67.02059996314347
44,16,17592186043829,5,3,85184,3,85184,5,1,1,17592178741540,10133,17592178741540,1,-4,1,2064298,7302290,17592178741540,10133,67.02059996314347
44,17,17592186043819,7,2,1936,3,85184,7,0,0,17592192347067,1538893,,1,-4643,13,52710,-7580824,17592193624644,401,53.62829996738583
44,17,17592186043819,7,3,85184,3,85184,7,0,0,17592192347067,1538893,,1,-95,8,695370,-4942924,17592190986744,29599,53.62829996738583
44,18,17592186043813,1,2,1936,3,85184,10,0,0,17592189481539,69019,,1,-26443,28,34383,-6253645,17592192297459,353,277.2753000026569
44,18,17592186043813,1,3,85184,3,85184,10,1,1,17592189481539,69019,17592189481539,1,-3,1,4417797,-3437725,17592189481539,69019,277.2753000026569
44,19,17592186043807,7,2,1936,3,85184,7,0,0,17592194241219,1273117,,1,-3691,13,122463,-3874807,17592189918615,751,52.94660001527518
44,19,17592186043807,7,3,85184,3,85184,7,0,0,17592194241219,1273117,,1,-24,2,1281901,5561498,17592180482310,6101,52.94660001527518
44,20,17592186043741,1,2,1936,3,85184,10,0,0,17592191023975,59887,,1,-519,18,109340,-8010242,17592194053984,229,19.74250003695488
44,20,17592186043741,1,3,85184,3,85184,10,1,1,17592191023975,59887,17592191023975,1,-3,1,3897265,-4980233,17592191023975,59887,19.74250003695488
44,21,17592186043693,1,2,1936,3,85184,10,0,0,17592191447220,81349,,1,-7,1,984828,7973678,17592178070016,1481,3.8744999328628182
44,21,17592186043693,1,3,85184,3,85184,10,1,1,17592191447220,81349,17592191447220,1,-4,1,3208218,-5403526,17592191447220,81349,3.8744999328628182
44,22,17592186043667,11,2,1936,3,85184,1,0,0,17592186043668,1710636527,,1,-1691,18,199853,1681707,17592184361961,1129,20.184799912385643
44,22,17592186043667,11,3,85184,3,85184,1,0,0,17592186043668,1710636527,,1,-11,1,2400842,-2638992,17592188682660,46997,20.184799912385643
44,23,17592186043631,11,2,1936,3,85184,1,0,0,17592186043632,1048583,,0,,,,,,,517.1855000080541
44,23,17592186043631,11,3,85184,3,85184,1,0,0,17592186043632,1048583,,1,-11,1,1673822,-6288900,17592192332532,51869,517.1855000080541
44,24,17592186043591,7,2,1936,3,85184,7,0,0,17592189619116,143281,,1,-13539,24,23810,-7917908,17592193961500,1423,144.80349991936237
44,24,17592186043591,7,3,85184,3,85184,7,0,0,17592189619116,143281,,1,-15,2,1305162,6694552,17592179349040,2243,144.80349991936237
44,25,17592186043577,5,2,1936,3,85184,5,0,0,17592187320586,106433,,1,-2251,7,123832,5987578,17592180056000,1499,40.448900079354644
44,25,17592186043577,5,3,85184,3,85184,5,0,0,17592187320586,106433,,1,-19,1,1119809,-6822263,17592192865841,82939,40.448900079354644
44,26,17592186043547,11,2,1936,3,85184,1,0,0,17592186043548,759987301,,1,-9907,15,84229,288601,17592185754947,1303,84.3726999592036
