bits,smoothness_exponent,order_bound,discriminant_bound,primes,explicit_successes,explicit_rate,explicit_wilson_95_low,explicit_wilson_95_high,bounded_cm_successes,bounded_cm_rate,bounded_cm_wilson_95_low,bounded_cm_wilson_95_high,median_min_discriminant,max_min_discriminant,median_class_number,max_class_number,mean_measurement_ms,total_measurement_s,full_runtime_s
44,2,1936,85184,32,1,0.03125,0.005537860164003122,0.15744263820012558,31,0.96875,0.8425573617998744,0.9944621398359969,2872,66399,15,170,107.94251875995542,3.4541606003185734,189.47212159994524
44,3,85184,85184,32,14,0.4375,0.2816533111504036,0.6067440886314801,32,1.0,0.8928208017449293,1.0,9.5,2056,1.0,16,107.94251875995542,3.4541606003185734,189.47212159994524
48,2,2304,110592,32,2,0.0625,0.017310567031640967,0.2014712314415458,25,0.78125,0.6124500635075647,0.8897616374739581,3171,65876,20,192,359.96037499717204,11.518731999909505,189.47212159994524
48,3,110592,110592,32,12,0.375,0.22933887309454212,0.5474559264692255,32,1.0,0.8928208017449293,1.0,41.5,1027,1.0,5,359.96037499717204,11.518731999909505,189.47212159994524
52,2,2704,140608,32,1,0.03125,0.005537860164003122,0.15744263820012558,21,0.65625,0.4831108797896222,0.7958956207556682,13703,125711,32,497,860.8265656184813,27.5464500997914,189.47212159994524
52,3,140608,140608,32,3,0.09375,0.032401551298366194,0.24218154728387864,32,1.0,0.8928208017449293,1.0,191.0,14323,3.5,23,860.8265656184813,27.5464500997914,189.47212159994524
56,2,3136,175616,32,0,0.0,0.0,0.1071791982550706,13,0.40625,0.2551963484266544,0.5773997512461713,7539,82424,28,240,1730.4282343757222,55.37370350002311,189.47212159994524
56,3,175616,175616,32,8,0.25,0.1325240091850904,0.4210655899424448,32,1.0,0.8928208017449293,1.0,115.0,3019,2.5,12,1730.4282343757222,55.37370350002311,189.47212159994524
60,2,3600,216000,32,1,0.03125,0.005537860164003122,0.15744263820012558,9,0.28125,0.15564580497742764,0.45374509425916565,10664,209759,48,602,2860.4535531158035,91.53451369970571,189.47212159994524
60,3,216000,216000,32,4,0.125,0.04970134387480073,0.2806830548165022,32,1.0,0.8928208017449293,1.0,417.0,11720,6.0,32,2860.4535531158035,91.53451369970571,189.47212159994524
