bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
60,1,1152921504606846883,7,3,216000,2,3600,7,0,0,1152921502473291129,3804643,,1,-1027,4,66373662,295424288,1152921504311422596,40841,87.82920008525252
60,2,1152921504606846869,5,3,216000,2,3600,5,0,0,1152921504082309000,33544733,,1,-724,10,3098857,-2145864280,1152921506752711150,21419,53.3763999119401
60,3,1152921504606846803,11,3,216000,2,3600,1,0,0,1152921504606846804,10675199116730063,,0,,,,,,,127.3153000511229
60,4,1152921504606846797,5,3,216000,2,3600,5,0,0,1152921503969634890,1290937,,1,-3379,16,12327139,-2024405773,1152921506631252571,117307,197.72649998776615
60,5,1152921504606846719,11,3,216000,2,3600,1,1,1,1152921504606846720,8191,1152921504606846720,1,-227,5,38497094,-2067671652,1152921506674518372,48647,23.056300007738173
60,6,1152921504606846697,1,3,216000,2,3600,10,0,0,1152921502976516928,408979,,1,-43,1,327441072,36425626,1152921504570421072,124181,22.299999953247607
60,7,1152921504606846607,7,3,216000,2,3600,7,0,0,1152921504383494069,59121199,,1,-883,3,68216087,709015749,1152921503897830859,146309,61.38700002338737
60,8,1152921504606846581,5,3,216000,2,3600,5,1,1,1152921506598912200,187273,1152921506598912200,1,-4,1,401048810,-1992065618,1152921506598912200,187273,28.152800048701465
60,9,1152921504606846577,1,3,216000,2,3600,10,0,0,1152921505018939970,4254253,,1,-51,2,291589437,524825333,1152921504082021245,12853,41.22770007234067
60,10,1152921504606846523,7,3,216000,2,3600,7,0,0,1152921503100868141,111764179,,0,,,,,,,182.5294999871403
60,11,1152921504606846419,11,3,216000,2,3600,1,1,1,1152921504606846420,139313,1152921504606846420,1,-11,1,533913446,1214901960,1152921503391944460,12541,2.952100010588765
60,12,1152921504606846397,1,3,216000,2,3600,10,0,0,1152921504737243016,3901901,,1,-51,2,139404988,-1902778162,1152921506509624560,181459,6.3293999992311
60,13,1152921504606846347,11,3,216000,2,3600,1,0,0,1152921504606846348,513779636634067,,1,-607,13,24738922,-2059172980,1152921506666019328,158303,31.313400017097592
60,14,1152921504606846307,7,3,216000,2,3600,7,0,0,1152921506284390468,6680689,,0,,,,,,,88.31879997160286
60,15,1152921504606846281,5,3,216000,2,3600,5,0,0,1152921504606846282,1213627,,0,,,,,,,156.4857999328524
60,16,1152921504606846269,5,3,216000,2,3600,5,0,0,1152921504011470580,3128401,,1,-91,2,225111980,-14976526,1152921504621822796,4937,47.53020009957254
60,17,1152921504606846259,7,3,216000,2,3600,7,0,0,1152921505941878797,7541701,,1,-167,11,27751734,2117326028,1152921502489520232,71333,13.249099953100085
60,18,1152921504606846251,11,3,216000,2,3600,1,0,0,1152921504606846252,14967037,,1,-95,8,204257014,805107372,1152921503801738880,199739,19.27879999857396
