bits,prime,candidate,a,b,order,largest_prime_factor,point_count_ms,seed
10,1019,1,231,252,1060,53,0.11040002573281527,21012026
10,1019,2,378,405,1068,89,0.08889997843652964,21012026
10,1019,3,393,305,1035,23,0.08240004535764456,21012026
10,1019,4,506,335,1040,13,0.07609999738633633,21012026
10,1019,5,42,74,1017,113,0.06799993570894003,21012026
10,1019,6,274,210,1069,1069,0.054999953135848045,21012026
12,4091,1,350,4017,4031,139,0.08979998528957367,21012026
12,4091,2,4090,3742,4207,601,0.07609999738633633,21012026
12,4091,3,1637,3667,3992,499,0.09630003478378057,21012026
12,4091,4,2580,657,4074,97,0.09950005915015936,21012026
12,4091,5,2226,1948,4164,347,0.09770004544407129,21012026
12,4091,6,1918,281,4068,113,0.10029994882643223,21012026
