bits,prime,trials,smoothness_exponent,bound,successes,curve_rate,wilson_95_low,wilson_95_high,first_success_candidate,hasse_lower,hasse_upper,integer_successes,integer_rate,curve_to_integer_ratio,dickman_u,dickman_rho,mean_point_count_ms,median_point_count_ms,total_point_count_s,full_runtime_s
12,4091,512,2,144,268,0.5234375,0.48016210712441953,0.5663638158885704,1,3965,4219,109,0.42745098039215684,1.2245556192660552,1.6734119003301238,0.4852360013867777,0.08801992248663737,0.08509994950145483,0.04506620031315833,20.666233399999328
12,4091,512,3,1728,461,0.900390625,0.8713937373005635,0.9234241141713467,1,3965,4219,207,0.8117647058823529,1.1091768568840579,1.115607933553416,0.8906264316183411,0.08801992248663737,0.08509994950145483,0.04506620031315833,20.666233399999328
16,65519,512,2,256,173,0.337890625,0.2982628290738182,0.37993287008633525,2,65009,66031,272,0.26588465298142716,1.2708165785845589,1.999953214650657,0.3070011964897265,0.18483418398318463,0.17919996753335,0.09463510219939053,20.666233399999328
16,65519,512,3,4096,376,0.734375,0.6944757724650265,0.7707834576648723,2,65009,66031,677,0.6617790811339198,1.1096981166912852,1.333302143100438,0.7124038238050323,0.18483418398318463,0.17919996753335,0.09463510219939053,20.666233399999328
20,1048571,512,2,400,103,0.201171875,0.1687317782031719,0.23806270338120725,8,1046525,1050619,638,0.1557997557997558,1.2912207337382444,2.3137813357349253,0.18159113007735744,0.28904609621349664,0.2730499836616218,0.14799160126131028,20.666233399999328
20,1048571,512,3,8000,292,0.5703125,0.5270665087613602,0.6125112602776095,1,1046525,1050619,2144,0.5235653235653236,1.0892862348414178,1.5425208904899501,0.566669897692245,0.28904609621349664,0.2730499836616218,0.14799160126131028,20.666233399999328
24,16777199,512,2,576,71,0.138671875,0.11141736019861744,0.17130799335112207,1,16769009,16785391,1477,0.09015442837087224,1.5381593284529451,2.617251344408142,0.10498901797934368,0.47594277748430613,0.4686000174842775,0.24368270207196474,20.666233399999328
24,16777199,512,3,13824,233,0.455078125,0.41243791996720636,0.49838739425789635,1,16769009,16785391,6700,0.4089605078434963,1.1127678987873135,1.744834229605428,0.44344716123917916,0.47594277748430613,0.4686000174842775,0.24368270207196474,20.666233399999328
28,268435399,512,2,784,29,0.056640625,0.039723226447529306,0.08016139655674563,2,268402633,268468167,3304,0.05041580834668498,1.1234695397624093,2.912204335609107,0.0585814692526873,0.7888843772434484,0.7559499936178327,0.4039088011486456,20.666233399999328
28,268435399,512,3,21952,178,0.34765625,0.3076787445961284,0.3899027558194375,2,268402633,268468167,20169,0.30775921263447015,1.1296371829912242,1.9414695570727383,0.3366760281930473,0.7888843772434484,0.7559499936178327,0.4039088011486456,20.666233399999328
32,4294967291,512,2,1024,21,0.041015625,0.02698094895608158,0.061886392039533444,31,4294836221,4295098363,7222,0.02754984874667643,1.4887785910239546,3.1999999998320483,0.0318976485511023,4.6862568333381205,4.583499976433814,2.3993634986691177,20.666233399999328
32,4294967291,512,3,32768,121,0.236328125,0.201578409461584,0.2750049566422799,2,4294836221,4295098363,58830,0.22441949622915736,1.0530641453658849,2.1333333332213655,0.2465405186021905,4.6862568333381205,4.583499976433814,2.3993634986691177,20.666233399999328
36,68719476731,512,2,1296,14,0.02734375,0.016356725239303357,0.04537049399873423,12,68718952445,68720001019,15420,0.014705671983406051,1.8594015989785992,3.4816752651007223,0.01711279402159745,10.501703710815491,10.3954499354586,5.376872299937531,20.666233399999328
36,68719476731,512,3,46656,97,0.189453125,0.15787017585478835,0.22566134422309586,2,68718952445,68720001019,170890,0.16297355935436186,1.1624776788979754,2.3211168434004814,0.17929911052656675,10.501703710815491,10.3954499354586,5.376872299937531,20.666233399999328
40,1099511627563,512,2,1600,4,0.0078125,0.003042201929655798,0.0199134147975569,65,1099509530413,1099513724715,32026,0.007635595234774407,1.0231684315087741,3.758036494155894,0.009034765755804402,20.25188476659423,20.22175007732585,10.368965000496246,20.666233399999328
40,1099511627563,512,3,64000,52,0.1015625,0.07829375610514352,0.13076555267402867,6,1099509530413,1099513724715,491512,0.11718562059059634,0.866680566166238,2.505357662770596,0.1292312388760035,20.25188476659423,20.22175007732585,10.368965000496246,20.666233399999328
