target_bits,model,l_constant,log2_prefactor,l_exponent,notation_denominator,polynomial_selection,calibration,family,minimum_log2_abs_seed,minimum_seed_bits,estimated_p_bits,estimated_r_bits,estimated_field_bits,extnfs_security_bits,pollard_security_bits,rho_estimate,rho_limit,pairing_proxy,concrete_prime_seed,optimal_for_rho
128,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,BN,109.438780,110,442.925,442.925,5315.101,128.000000,221.462522,1.000000000,1.000000,1344.285,not searched (model extrapolation),True
128,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,BLS12,74.085001,75,442.925,296.340,5315.101,128.000000,148.170002,1.494651541,1.500000,889.020,not searched (model extrapolation),False
128,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,BLS24,32.000000,32,318.415,256.000,7641.961,150.382471,128.000000,1.243808740,1.250000,768.000,not searched (model extrapolation),False
128,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,KSS16,34.213042,35,332.194,257.802,5315.101,128.000000,128.900957,1.288562126,1.250000,547.409,not searched (model extrapolation),False
192,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,BN,278.334455,279,1118.508,1118.508,13422.093,192.000000,559.253872,1.000000000,1.000000,3371.033,not searched (model extrapolation),True
192,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,BLS12,186.682118,187,1118.508,746.728,13422.093,192.000000,373.364235,1.497877458,1.500000,2240.185,not searched (model extrapolation),False
192,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,BLS24,56.083883,57,559.254,448.671,13422.093,192.000000,224.335534,1.246467429,1.250000,1346.013,not searched (model extrapolation),False
192,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,KSS16,84.881745,85,838.881,663.152,13422.093,192.000000,331.575767,1.264991128,1.250000,1358.108,not searched (model extrapolation),False
256,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,BN,550.941357,551,2208.935,2208.935,26507.224,256.000000,1104.467676,1.000000000,1.000000,6642.316,not searched (model extrapolation),True
256,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,BLS12,368.420052,369,2208.935,1473.680,26507.224,256.000000,736.840105,1.498924487,1.500000,4421.041,not searched (model extrapolation),False
256,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,BLS24,110.605264,111,1104.468,884.842,26507.224,256.000000,442.421055,1.248208762,1.250000,2654.526,not searched (model extrapolation),False
256,bn254-calibrated,32.0,-10.425059086,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne 2019 BN worked example,KSS16,166.663815,167,1656.702,1317.408,26507.224,256.000000,658.704050,1.257546173,1.250000,2666.621,not searched (model extrapolation),False
128,sextnfs-o1less,32.0,-7.000000000,0.333333333,9.0,SexTNFS special-form,Barbulescu--Duquesne record prefactor,BN,102.948754,103,416.965,416.965,5003.579,128.000000,208.482471,1.000000000,1.000000,1266.405,not searched (model extrapolation),True
