family,seed,p,r,embedding_degree,cofactor,p_bits,r_bits,rho,extnfs_security_bits,pollard_security_bits,pairing_proxy,model,rng_seed
BLS12,-905,183539239219611907,670801131601,12,273612,58,40,1.459738047891,47.437261,19.643547,120,bn254-calibrated,20260722
BLS12,-854,129611000186977321,531901098541,12,243675,57,39,1.459396952465,47.213138,19.476184,120,bn254-calibrated,20260722
BLS12,-836,114065458264710847,488454919921,12,233523,57,39,1.459270277059,47.130530,19.414717,120,bn254-calibrated,20260722
BLS12,-707,41746690003170157,249848522953,12,167088,56,38,1.458246479398,46.474958,18.931131,120,bn254-calibrated,20260722
BLS12,-638,22550808113412913,165684410893,12,136107,55,38,1.457594400666,46.068194,18.634823,120,bn254-calibrated,20260722
BLS12,-437,2332117565215927,36468967993,12,63948,52,36,1.455014371032,44.534209,17.542975,108,bn254-calibrated,20260722
BLS12,-413,1662176308942063,29093613193,12,57132,51,35,1.454603537059,44.300266,17.379992,108,bn254-calibrated,20260722
BLS12,-329,425291012027971,11716005841,12,36300,49,34,1.452875801781,43.344699,16.723881,108,bn254-calibrated,20260722
BLS12,-311,303546338965897,9354855121,12,32448,49,34,1.452429160927,43.104738,16.561534,108,bn254-calibrated,20260722
BLS12,-185,13507620736147,1171316401,12,11532,44,31,1.447905011604,40.818383,15.062742,96,bn254-calibrated,20260722
BLS12,-62,19544008177,14772493,12,1323,35,24,1.435397163159,35.509384,11.908205,72,bn254-calibrated,20260722
BLS12,-56,10647363907,9831361,12,1083,34,24,1.433976279703,34.973909,11.614480,72,bn254-calibrated,20260722
BLS12,-38,1056432313,2083693,12,507,30,21,1.428086583398,32.856552,10.495356,72,bn254-calibrated,20260722
BLS12,-5,7207,601,12,12,13,10,1.388243535621,18.740589,4.615611,36,bn254-calibrated,20260722
BLS12,-2,37,13,12,3,6,4,1.407793063103,8.305496,1.850220,24,bn254-calibrated,20260722
BLS12,4,727,241,12,3,10,8,1.201307278543,14.837827,3.956445,36,bn254-calibrated,20260722
BLS12,100,326667333367,99990001,12,3267,39,27,1.439271026369,37.891274,13.287640,84,bn254-calibrated,20260722
BLS12,118,884600761357,193863853,12,4563,40,28,1.441538686467,38.697523,13.765234,84,bn254-calibrated,20260722
BLS12,229,47652104678677,2750006041,12,17328,46,32,1.449051659515,41.760688,15.678394,96,bn254-calibrated,20260722
BLS12,559,10134281998293787,97644062881,12,103788,54,37,1.456443020585,45.533918,18.253407,120,bn254-calibrated,20260722
BLS12,718,45542198423959957,265764479053,12,171363,56,38,1.458131074533,46.532117,18.975679,120,bn254-calibrated,20260722
BLS12,853,128101278031930117,529414129273,12,241968,57,39,1.459216294079,47.205569,19.472803,120,bn254-calibrated,20260722
BLS12,1147,757707039404212903,1730825725273,12,437772,60,41,1.460952051173,48.338764,20.327299,132,bn254-calibrated,20260722
BLS12,1195,969077958827667607,2039253972601,12,475212,60,41,1.461180440058,48.493304,20.445589,132,bn254-calibrated,20260722
BLS24,-68,725518027397665519,457163218272001,24,1587,60,49,1.218319329104,68.994611,24.349851,168,bn254-calibrated,20260722
BLS24,-5,4680007,390001,24,12,23,19,1.193018797487,41.182387,9.286559,72,bn254-calibrated,20260722
BLS24,10,2699730037,99990001,24,27,32,27,1.178921441980,49.740367,13.287640,96,bn254-calibrated,20260722
BLS24,46,13532135234274721,20047607754481,24,675,54,45,1.212696622108,65.586181,22.094248,144,bn254-calibrated,20260722
BLS24,49,25522886250087217,33232924804801,24,768,55,45,1.213389534371,66.143580,22.458839,144,bn254-calibrated,20260722
BN,-9974,356234858765040253,356234858168156197,12,1,59,59,1.000000000041,47.861265,29.152803,192,bn254-calibrated,20260722
BN,-9935,350695564998350791,350695564406125441,12,1,59,59,1.000000000042,47.851293,29.141498,192,bn254-calibrated,20260722
BN,-9928,349708212270560593,349708211679169489,12,1,59,59,1.000000000042,47.849499,29.139465,192,bn254-calibrated,20260722
BN,-9806,332832531723600109,332832531146654293,12,1,59,59,1.000000000043,47.818011,29.103787,192,bn254-calibrated,20260722
BN,-9698,318409809407006773,318409808842699549,12,1,59,59,1.000000000044,47.789789,29.071831,192,bn254-calibrated,20260722
BN,-9666,314227893940089589,314227893379500253,12,1,59,59,1.000000000044,47.781363,29.062294,192,bn254-calibrated,20260722
BN,-9593,304842143994090403,304842143441936509,12,1,59,59,1.000000000045,47.762030,29.040420,192,bn254-calibrated,20260722
BN,-9362,276522617834705173,276522617308822909,12,1,58,58,1.000000000047,47.699809,28.970088,192,bn254-calibrated,20260722
BN,-9323,271943482842539023,271943482321029049,12,1,58,58,1.000000000048,47.689144,28.958042,192,bn254-calibrated,20260722
BN,-9229,261140377735004923,261140377223958277,12,1,58,58,1.000000000049,47.663243,28.928802,192,bn254-calibrated,20260722
BN,-9025,238804893910760851,238804893422057101,12,1,58,58,1.000000000051,47.606057,28.864305,192,bn254-calibrated,20260722
BN,-8842,220016588688171973,220016588219086189,12,1,58,58,1.000000000053,47.553580,28.805195,192,bn254-calibrated,20260722
BN,-8809,216750266647887043,216750266182296157,12,1,58,58,1.000000000054,47.543994,28.794406,192,bn254-calibrated,20260722
BN,-8781,214007479404929659,214007478942293893,12,1,58,58,1.000000000054,47.535831,28.785219,192,bn254-calibrated,20260722
BN,-8736,209654066240394049,209654065782487873,12,1,58,58,1.000000000055,47.522654,28.770394,192,bn254-calibrated,20260722
BN,-8653,201799054251109243,201799053801862789,12,1,58,58,1.000000000056,47.498159,28.742849,192,bn254-calibrated,20260722
BN,-8571,194257507453399279,194257507012627033,12,1,58,58,1.000000000057,47.473714,28.715374,192,bn254-calibrated,20260722
BN,-8479,186050063601424423,186050063170063777,12,1,58,58,1.000000000058,47.445991,28.684234,192,bn254-calibrated,20260722
BN,-8431,181872630141140359,181872629714649793,12,1,58,58,1.000000000059,47.431400,28.667853,192,bn254-calibrated,20260722
BN,-8365,176244009750753211,176244009330913861,12,1,58,58,1.000000000060,47.411192,28.645176,192,bn254-calibrated,20260722
BN,-8310,171654160933980541,171654160519643941,12,1,58,58,1.000000000061,47.394223,28.626141,192,bn254-calibrated,20260722
BN,-8238,165781831735842733,165781831328654869,12,1,58,58,1.000000000062,47.371828,28.601032,192,bn254-calibrated,20260722
BN,-8220,164337599208824281,164337598803413881,12,1,58,58,1.000000000062,47.366197,28.594720,192,bn254-calibrated,20260722
BN,-7913,141127705653791683,141127705278098269,12,1,57,57,1.000000000067,47.268089,28.484889,192,bn254-calibrated,20260722
BN,-7910,140913801563390941,140913801187982341,12,1,57,57,1.000000000067,47.267111,28.483795,192,bn254-calibrated,20260722
BN,-7885,139140709648884091,139140709275844741,12,1,57,57,1.000000000068,47.258941,28.474661,192,bn254-calibrated,20260722
BN,-7881,138858575424211459,138858575051550493,12,1,57,57,1.000000000068,47.257631,28.473197,192,bn254-calibrated,20260722
BN,-7868,137944601640457753,137944601269025209,12,1,57,57,1.000000000068,47.253370,28.468433,192,bn254-calibrated,20260722
BN,-7800,133237119188113201,133237118823073201,12,1,57,57,1.000000000069,47.230957,28.443387,192,bn254-calibrated,20260722
BN,-7735,128850950759247991,128850950400266641,12,1,57,57,1.000000000071,47.209339,28.419240,192,bn254-calibrated,20260722
BN,-7713,127391226991164883,127391226634222669,12,1,57,57,1.000000000071,47.201978,28.411022,192,bn254-calibrated,20260722
BN,-7595,119772312065478031,119772311719373881,12,1,57,57,1.000000000073,47.162114,28.366536,192,bn254-calibrated,20260722
BN,-7591,119520184798553239,119520184452813553,12,1,57,57,1.000000000074,47.160751,28.365016,192,bn254-calibrated,20260722
BN,-7542,116463820010670973,116463819669380389,12,1,57,57,1.000000000075,47.143995,28.346330,192,bn254-calibrated,20260722
BN,-7416,108873660497879089,108873660167896753,12,1,57,57,1.000000000077,47.100370,28.297716,192,bn254-calibrated,20260722
BN,-7323,103514057717711023,103514057395953049,12,1,57,57,1.000000000079,47.067664,28.261302,192,bn254-calibrated,20260722
BN,-7253,99612383997393643,99612383681757589,12,1,57,57,1.000000000081,47.042754,28.233587,192,bn254-calibrated,20260722
BN,-7184,95875434199461793,95875433889802657,12,1,57,57,1.000000000083,47.017949,28.206005,192,bn254-calibrated,20260722
BN,-7098,91366144076670373,91366143774380749,12,1,57,57,1.000000000085,46.986677,28.171255,192,bn254-calibrated,20260722
BN,-7010,86918579592044341,86918579297203741,12,1,57,57,1.000000000087,46.954258,28.135257,192,bn254-calibrated,20260722
BN,-6944,83691009901837633,83691009612522817,12,1,57,57,1.000000000089,46.929659,28.107961,192,bn254-calibrated,20260722
BN,-6820,77871102127168681,77871101848094281,12,1,57,57,1.000000000092,46.882765,28.055969,192,bn254-calibrated,20260722
BN,-6750,74722820030959501,74722819757584501,12,1,57,57,1.000000000094,46.855891,28.026199,192,bn254-calibrated,20260722
BN,-6201,53220554098563619,53220553867849213,12,1,56,56,1.000000000113,46.634266,27.781417,192,bn254-calibrated,20260722
BN,-6183,52605269343213463,52605269113836529,12,1,56,56,1.000000000113,46.626651,27.773028,192,bn254-calibrated,20260722
BN,-6175,52333528741222951,52333528512439201,12,1,56,56,1.000000000114,46.623258,27.769293,192,bn254-calibrated,20260722
BN,-6162,51894197355185173,51894197127363709,12,1,56,56,1.000000000114,46.617736,27.763211,192,bn254-calibrated,20260722
BN,-5958,45355671971494813,45355671758508229,12,1,56,56,1.000000000122,46.529423,27.666066,192,bn254-calibrated,20260722
BN,-5879,42997427358092023,42997427150716177,12,1,56,56,1.000000000126,46.494358,27.627550,192,bn254-calibrated,20260722
BN,-5844,41982569667812233,41982569462898217,12,1,56,56,1.000000000128,46.478662,27.610320,192,bn254-calibrated,20260722
BN,-5774,40006854393625453,40006854193590997,12,1,56,56,1.000000000131,46.446968,27.575548,192,bn254-calibrated,20260722
BN,-5750,39345797480965501,39345797282590501,12,1,56,56,1.000000000132,46.436008,27.563530,192,bn254-calibrated,20260722
BN,-5740,39072788946003961,39072788748318361,12,1,56,56,1.000000000132,46.431426,27.558507,192,bn254-calibrated,20260722
BN,-5566,34545961507603789,34545961321721653,12,1,55,55,1.000000000141,46.350327,27.469683,192,bn254-calibrated,20260722
BN,-5482,32507188235811973,32507188055498029,12,1,55,55,1.000000000146,46.310206,27.425804,192,bn254-calibrated,20260722
BN,-5434,31383481343792293,31383481166622157,12,1,55,55,1.000000000149,46.286985,27.400427,180,bn254-calibrated,20260722
BN,-5389,30356706279821563,30356706105573637,12,1,55,55,1.000000000151,46.265016,27.376432,180,bn254-calibrated,20260722
BN,-5287,28122738018166423,28122737850452209,12,1,55,55,1.000000000157,46.214490,27.321293,180,bn254-calibrated,20260722
BN,-5286,28101466151961949,28101465984311173,12,1,55,55,1.000000000158,46.213990,27.320747,180,bn254-calibrated,20260722
BN,-5200,26316756360928801,26316756198688801,12,1,55,55,1.000000000163,46.170569,27.273416,180,bn254-calibrated,20260722
BN,-5183,25974281725119463,25974281563938529,12,1,55,55,1.000000000164,46.161895,27.263967,180,bn254-calibrated,20260722
BN,-4942,21469680903348973,21469680756808789,12,1,55,55,1.000000000182,46.035574,27.126575,180,bn254-calibrated,20260722
BN,-4927,21210192349019623,21210192203367649,12,1,55,55,1.000000000183,46.027496,27.117804,180,bn254-calibrated,20260722
BN,-4619,16383260232357583,16383260104346617,12,1,54,54,1.000000000209,45.855591,26.931536,180,bn254-calibrated,20260722
BN,-4572,15726511652950873,15726511527531769,12,1,54,54,1.000000000214,45.828290,26.902024,180,bn254-calibrated,20260722
BN,-4188,11071985215315033,11071985110078969,12,1,54,54,1.000000000257,45.593368,26.648882,180,bn254-calibrated,20260722
BN,-4116,10329955619783689,10329955518134953,12,1,54,54,1.000000000267,45.546773,26.598842,180,bn254-calibrated,20260722
BN,-4032,9512110506713473,9512110409171329,12,1,54,54,1.000000000279,45.491301,26.539343,180,bn254-calibrated,20260722
BN,-3955,8805999323487871,8805999229635721,12,1,53,53,1.000000000290,45.439360,26.483704,180,bn254-calibrated,20260722
BN,-3851,7915599377370319,7915599288389113,12,1,53,53,1.000000000307,45.367470,26.406810,180,bn254-calibrated,20260722
BN,-3829,7736250943505323,7736250855537877,12,1,53,53,1.000000000311,45.351997,26.390278,180,bn254-calibrated,20260722
BN,-3817,7639718676982723,7639718589565789,12,1,53,53,1.000000000313,45.343518,26.381220,180,bn254-calibrated,20260722
BN,-3678,6586145589598093,6586145508431989,12,1,53,53,1.000000000338,45.243174,26.274178,180,bn254-calibrated,20260722
BN,-3642,6332030905527973,6332030825942989,12,1,53,53,1.000000000345,45.216526,26.245795,180,bn254-calibrated,20260722
BN,-3613,6132734299435483,6132734221112869,12,1,53,53,1.000000000351,45.194855,26.222726,180,bn254-calibrated,20260722
BN,-3480,5278307473476721,5278307400814321,12,1,53,53,1.000000000380,45.093032,26.114498,180,bn254-calibrated,20260722
BN,-3471,5223911858513479,5223911786226433,12,1,53,53,1.000000000382,45.085992,26.107026,180,bn254-calibrated,20260722
BN,-3426,4958212970959669,4958212900534813,12,1,53,53,1.000000000393,45.050500,26.069371,180,bn254-calibrated,20260722
BN,-3409,4860524263715443,4860524193987757,12,1,53,53,1.000000000397,45.036962,26.055017,180,bn254-calibrated,20260722
BN,-3241,3970860513487939,3970860450463453,12,1,52,52,1.000000000442,44.899174,25.909187,180,bn254-calibrated,20260722
BN,-3090,3280921788451861,3280921731163261,12,1,52,52,1.000000000489,44.768665,25.771511,180,bn254-calibrated,20260722
BN,-3055,3134766581307271,3134766525309121,12,1,52,52,1.000000000501,44.737443,25.738640,180,bn254-calibrated,20260722
BN,-3046,3097986535908829,3097986480240133,12,1,52,52,1.000000000504,44.729353,25.730126,180,bn254-calibrated,20260722
BN,-2976,2822853138389569,2822853085250113,12,1,52,52,1.000000000529,44.665544,25.663038,180,bn254-calibrated,20260722
BN,-2859,2404402809305743,2404402760262457,12,1,52,52,1.000000000576,44.555230,25.547300,180,bn254-calibrated,20260722
BN,-2768,2112564390680353,2112564344709409,12,1,51,51,1.000000000617,44.466044,25.453958,180,bn254-calibrated,20260722
BN,-2515,1439732432741311,1439732394789961,12,1,51,51,1.000000000755,44.200609,25.177361,168,bn254-calibrated,20260722
BN,-2499,1403439674235103,1403439636765097,12,1,51,51,1.000000000765,44.182874,25.158944,168,bn254-calibrated,20260722
BN,-2473,1345932758893123,1345932722198749,12,1,51,51,1.000000000783,44.153794,25.128764,168,bn254-calibrated,20260722
BN,-2443,1281795108196303,1281795072386809,12,1,51,51,1.000000000803,44.119831,25.093544,168,bn254-calibrated,20260722
BN,-2383,1160423288216263,1160423254144129,12,1,51,51,1.000000000846,44.050547,25.021786,168,bn254-calibrated,20260722
BN,-2079,672220231350823,672220205417377,12,1,50,50,1.000000001130,43.668169,24.627964,168,bn254-calibrated,20260722
BN,-2019,597905695681183,597905671223017,12,1,50,50,1.000000001202,43.585642,24.543456,168,bn254-calibrated,20260722
