field_prime_e1,field_prime_e2,field_prime_e3,bounded_degree_e1,bounded_degree_e2,bounded_degree_e3,exact_degree_e1,exact_degree_e2,exact_degree_e3,missing_positions,maximum_field_prime
7,11,13,10,12,2,10,12,2,,13
11,17,13,>12,6,10,16,6,10,1,17
13,19,17,>12,8,6,18,8,6,1,19
17,23,19,>12,9,8,22,9,8,1,23
23,31,29,10,>12,11,10,28,11,2,31
29,31,37,10,4,>12,10,4,28,3,37
29,37,31,12,6,>12,12,6,28,3,37
31,37,41,4,5,>12,4,5,15,3,41
31,37,43,4,6,>12,4,6,30,3,43
31,41,37,10,>12,6,10,18,6,2,41
31,41,43,10,7,>12,10,7,30,3,43
31,43,37,>12,4,6,21,4,6,1,43
37,41,47,5,>12,3,5,46,3,2,47
37,43,47,6,>12,3,6,46,3,2,47
37,47,43,>12,7,4,23,7,4,1,47
89,103,97,>12,12,11,34,12,11,1,103
89,107,101,>12,10,8,53,10,8,1,107
97,109,113,>12,7,12,27,7,12,1,113
101,109,107,12,>12,10,12,106,10,2,109
101,109,113,12,7,>12,12,7,100,3,113
127,137,131,8,>12,7,8,130,7,2,137
127,137,149,8,>12,9,8,148,9,2,149
191,197,211,7,6,>12,7,6,95,3,211
197,199,211,>12,7,4,198,7,4,1,211
233,241,257,8,4,>12,8,4,232,3,257
241,257,271,4,>12,8,4,270,8,2,271
251,281,271,>12,5,5,280,5,5,1,281
431,439,457,>12,12,10,146,12,10,1,457
569,601,577,10,4,>12,10,4,284,3,601
991,1019,1033,>12,12,11,509,12,11,1,1033
2663,2729,2711,8,5,>12,8,5,1331,3,2729
2663,2729,2719,8,>12,11,8,1359,11,2,2729
2917,2939,2971,>12,11,4,1469,11,4,1,2971
8011,8101,8191,4,6,>12,4,6,445,3,8191
8011,8191,8101,>12,4,6,78,4,6,1,8191
9391,9403,9521,>12,7,10,4701,7,10,1,9521
10513,10639,10691,>12,5,8,10638,5,8,1,10691
482659,483883,483481,>12,5,11,483882,5,11,1,483883
920641,921601,922561,4,6,>12,4,6,2055,3,922561
920641,922561,921601,>12,4,6,115320,4,6,1,922561
3894703,3896677,3898651,4,6,>12,4,6,556386,3,3898651
3894703,3898651,3896677,>12,4,6,1949325,4,6,1,3898651
