degree_e1,degree_e2,gap_c,field_p,field_q,status
5,5,2,,,audited_empty
5,5,4,,,audited_empty
5,5,6,,,audited_empty
5,5,8,,,audited_empty
5,5,10,,,audited_empty
5,5,12,,,audited_empty
5,5,14,,,audited_empty
5,5,16,,,audited_empty
5,5,18,,,audited_empty
5,5,20,,,audited_empty
5,5,22,,,audited_empty
5,5,24,,,audited_empty
5,5,26,,,audited_empty
5,5,28,,,audited_empty
5,5,30,,,audited_empty
5,5,32,,,audited_empty
5,5,34,,,audited_empty
5,5,36,,,audited_empty
5,5,38,,,audited_empty
5,5,40,,,audited_empty
5,5,42,,,audited_empty
5,5,44,,,audited_empty
5,5,46,,,audited_empty
5,5,48,,,audited_empty
5,5,50,,,audited_empty
5,5,52,,,audited_empty
5,5,54,,,audited_empty
5,5,56,,,audited_empty
5,5,58,,,audited_empty
5,5,60,,,audited_empty
5,5,62,,,audited_empty
5,5,64,,,audited_empty
5,5,66,,,audited_empty
5,5,68,,,audited_empty
5,5,70,,,audited_empty
5,5,72,,,audited_empty
5,5,74,,,audited_empty
5,5,76,,,audited_empty
5,5,78,,,audited_empty
5,5,80,,,audited_empty
5,5,82,,,audited_empty
5,5,84,,,audited_empty
5,5,86,,,audited_empty
5,5,88,,,audited_empty
5,5,90,,,audited_empty
5,5,92,,,audited_empty
5,5,94,,,audited_empty
5,5,96,,,audited_empty
5,5,98,,,audited_empty
5,5,100,,,audited_empty
5,5,102,,,audited_empty
5,5,104,,,audited_empty
5,5,106,,,audited_empty
5,8,2,,,audited_empty
5,8,4,,,audited_empty
5,8,6,,,audited_empty
5,8,8,,,audited_empty
5,8,10,,,audited_empty
5,8,12,,,audited_empty
5,8,14,,,audited_empty
5,8,16,,,audited_empty
5,8,18,,,audited_empty
5,8,20,,,audited_empty
5,8,22,,,audited_empty
5,8,24,,,audited_empty
5,8,26,,,audited_empty
5,8,28,,,audited_empty
5,8,30,,,audited_empty
5,8,32,,,audited_empty
5,8,34,,,audited_empty
5,8,36,,,audited_empty
5,8,38,,,audited_empty
5,8,40,,,audited_empty
5,8,42,,,audited_empty
5,8,44,,,audited_empty
5,8,46,,,audited_empty
5,8,48,,,audited_empty
5,8,50,,,audited_empty
5,8,52,,,audited_empty
5,8,54,,,audited_empty
5,8,56,,,audited_empty
5,8,58,,,audited_empty
5,8,60,,,audited_empty
5,8,62,,,audited_empty
5,8,64,,,audited_empty
5,8,66,,,audited_empty
5,8,68,,,audited_empty
5,8,70,,,audited_empty
5,8,72,,,audited_empty
5,8,74,,,audited_empty
5,8,76,,,audited_empty
5,8,78,,,audited_empty
5,8,80,,,audited_empty
5,8,82,,,audited_empty
5,8,84,,,audited_empty
5,8,86,,,audited_empty
5,8,88,,,audited_empty
5,8,90,,,audited_empty
5,8,92,,,audited_empty
5,8,94,,,audited_empty
5,8,96,,,audited_empty
5,8,98,,,audited_empty
5,8,100,,,audited_empty
5,8,102,,,audited_empty
5,8,104,,,audited_empty
5,8,106,,,audited_empty
5,10,2,,,audited_empty
5,10,4,,,audited_empty
5,10,6,,,audited_empty
5,10,8,,,audited_empty
5,10,10,,,audited_empty
5,10,12,,,audited_empty
5,10,14,,,audited_empty
5,10,16,,,audited_empty
5,10,18,,,audited_empty
5,10,20,,,audited_empty
5,10,22,,,audited_empty
5,10,24,,,audited_empty
5,10,26,,,audited_empty
5,10,28,,,audited_empty
5,10,30,,,audited_empty
5,10,32,,,audited_empty
5,10,34,,,audited_empty
5,10,36,,,audited_empty
5,10,38,,,audited_empty
5,10,40,,,audited_empty
5,10,42,,,audited_empty
5,10,44,,,audited_empty
5,10,46,,,audited_empty
5,10,48,,,audited_empty
5,10,50,,,audited_empty
5,10,52,,,audited_empty
5,10,54,,,audited_empty
5,10,56,,,audited_empty
5,10,58,,,audited_empty
5,10,60,,,audited_empty
5,10,62,,,audited_empty
5,10,64,,,audited_empty
5,10,66,,,audited_empty
5,10,68,,,audited_empty
5,10,70,,,audited_empty
5,10,72,,,audited_empty
5,10,74,,,audited_empty
5,10,76,,,audited_empty
5,10,78,,,audited_empty
5,10,80,,,audited_empty
5,10,82,,,audited_empty
5,10,84,,,audited_empty
5,10,86,,,audited_empty
5,10,88,,,audited_empty
5,10,90,,,audited_empty
5,10,92,,,audited_empty
5,10,94,,,audited_empty
5,10,96,,,audited_empty
5,10,98,,,audited_empty
5,10,100,,,audited_empty
5,10,102,,,audited_empty
5,10,104,,,audited_empty
5,10,106,,,audited_empty
5,12,2,,,audited_empty
5,12,4,,,audited_empty
5,12,6,,,audited_empty
5,12,8,,,audited_empty
5,12,10,,,audited_empty
5,12,12,,,audited_empty
5,12,14,,,audited_empty
5,12,16,,,audited_empty
5,12,18,,,audited_empty
5,12,20,,,audited_empty
5,12,22,,,audited_empty
5,12,24,,,audited_empty
5,12,26,,,audited_empty
5,12,28,,,audited_empty
5,12,30,,,audited_empty
5,12,32,,,audited_empty
5,12,34,,,audited_empty
5,12,36,,,audited_empty
5,12,38,,,audited_empty
5,12,40,,,audited_empty
5,12,42,,,audited_empty
5,12,44,,,audited_empty
5,12,46,,,audited_empty
5,12,48,,,audited_empty
5,12,50,,,audited_empty
5,12,52,,,audited_empty
5,12,54,,,audited_empty
5,12,56,,,audited_empty
5,12,58,,,audited_empty
5,12,60,,,audited_empty
5,12,62,,,audited_empty
5,12,64,,,audited_empty
5,12,66,,,audited_empty
5,12,68,,,audited_empty
5,12,70,,,audited_empty
5,12,72,,,audited_empty
5,12,74,,,audited_empty
5,12,76,,,audited_empty
5,12,78,,,audited_empty
5,12,80,,,audited_empty
5,12,82,,,audited_empty
5,12,84,,,audited_empty
5,12,86,,,audited_empty
5,12,88,,,audited_empty
5,12,90,,,audited_empty
5,12,92,,,audited_empty
5,12,94,,,audited_empty
5,12,96,,,audited_empty
5,12,98,,,audited_empty
5,12,100,,,audited_empty
5,12,102,,,audited_empty
5,12,104,,,audited_empty
5,12,106,,,audited_empty
8,5,2,,,audited_empty
8,5,4,,,audited_empty
8,5,6,,,audited_empty
8,5,8,,,audited_empty
8,5,10,,,audited_empty
8,5,12,,,audited_empty
8,5,14,,,audited_empty
8,5,16,,,audited_empty
8,5,18,,,audited_empty
8,5,20,,,audited_empty
8,5,22,,,audited_empty
8,5,24,,,audited_empty
8,5,26,,,audited_empty
8,5,28,,,audited_empty
8,5,30,,,audited_empty
8,5,32,,,audited_empty
8,5,34,,,audited_empty
8,5,36,,,audited_empty
8,5,38,,,audited_empty
8,5,40,,,audited_empty
8,5,42,,,audited_empty
8,5,44,,,audited_empty
8,5,46,,,audited_empty
8,5,48,,,audited_empty
8,5,50,,,audited_empty
8,5,52,,,audited_empty
8,5,54,,,audited_empty
8,5,56,,,audited_empty
8,5,58,,,audited_empty
8,5,60,,,audited_empty
8,5,62,,,audited_empty
8,5,64,,,audited_empty
8,5,66,,,audited_empty
8,5,68,,,audited_empty
8,5,70,,,audited_empty
8,5,72,,,audited_empty
8,5,74,,,audited_empty
8,5,76,,,audited_empty
8,5,78,,,audited_empty
8,5,80,,,audited_empty
8,5,82,,,audited_empty
