canonical_curve_id,degree_e1,degree_e2,quotient_difference_h,square_content,squarefree_twist,normalized_coefficients,multiplicity
QG011,5,5,3,1,1,"16,0,29,0,16",2
QG027,5,5,15,1,1,"64,0,293,0,64",1
QG007,5,8,2,1,1,"9,-6,11,-6,9",2
QG012,5,8,4,1,1,"17,-10,27,-10,17",2
QG015,5,8,6,1,1,"25,-14,51,-14,25",2
QG020,5,8,10,1,1,"41,-22,123,-22,41",2
QG023,5,8,12,1,1,"49,-26,171,-26,49",1
QG002,5,10,1,1,1,"4,-4,5,-4,4",1
QG006,5,12,2,1,1,"9,-8,10,-8,9",2
QG014,5,12,6,1,1,"25,-16,42,-16,25",2
QG018,5,12,8,1,1,"33,-20,70,-20,33",2
QG022,5,12,12,1,1,"49,-28,150,-28,49",2
QG028,5,12,18,1,1,"73,-40,330,-40,73",1
QG009,8,5,2,1,1,"9,6,11,6,9",2
QG013,8,5,4,1,1,"17,10,27,10,17",2
QG016,8,5,6,1,1,"25,14,51,14,25",2
QG021,8,5,10,1,1,"41,22,123,22,41",2
QG024,8,5,12,1,1,"49,26,171,26,49",2
QG030,8,5,20,1,1,"81,42,443,42,81",1
QG004,8,8,1,1,1,"4,0,1,0,4",1
QG007,8,10,2,1,1,"9,-6,11,-6,9",2
QG012,8,10,4,1,1,"17,-10,27,-10,17",2
QG015,8,10,6,1,1,"25,-14,51,-14,25",2
QG020,8,10,10,1,1,"41,-22,123,-22,41",2
QG001,8,12,1,2,1,"1,0,0,0,1",2
QG008,8,12,9,2,1,"9,0,16,0,9",2
QG005,10,5,1,1,1,"4,4,5,4,4",1
QG009,10,8,2,1,1,"9,6,11,6,9",2
QG013,10,8,4,1,1,"17,10,27,10,17",2
QG016,10,8,6,1,1,"25,14,51,14,25",2
QG021,10,8,10,1,1,"41,22,123,22,41",2
QG024,10,8,12,1,1,"49,26,171,26,49",2
QG011,10,10,3,1,1,"16,0,29,0,16",2
QG010,10,12,2,1,1,"9,8,10,8,9",2
QG017,10,12,6,1,1,"25,16,42,16,25",2
QG019,10,12,8,1,1,"33,20,70,20,33",2
QG025,10,12,12,1,1,"49,28,150,28,49",2
QG010,12,5,2,1,1,"9,8,10,8,9",2
QG017,12,5,6,1,1,"25,16,42,16,25",2
QG019,12,5,8,1,1,"33,20,70,20,33",2
QG025,12,5,12,1,1,"49,28,150,28,49",2
QG029,12,5,18,1,1,"73,40,330,40,73",1
QG031,12,5,20,1,1,"81,44,406,44,81",1
QG001,12,8,1,2,1,"1,0,0,0,1",2
QG008,12,8,9,2,1,"9,0,16,0,9",2
QG006,12,10,2,1,1,"9,-8,10,-8,9",2
QG014,12,10,6,1,1,"25,-16,42,-16,25",2
QG018,12,10,8,1,1,"33,-20,70,-20,33",2
QG022,12,10,12,1,1,"49,-28,150,-28,49",2
QG003,12,12,1,1,1,"4,0,-3,0,4",1
QG026,12,12,13,1,13,"52,0,117,0,52",1
