degree_e1,degree_e2,quotient_difference_h,critical_primes,maximum_critical_prime,status,failed_primes,singular_only_primes
5,5,3,"3,5,7,11,13,17,61",61,all_odd_primes_certified,,
5,5,15,"3,5,7,11,13,17,421",421,all_odd_primes_certified,,
5,8,2,"3,5,7,11,13,17,41",41,higher_power_required,,3
5,8,4,"3,5,7,11,13,17,41",41,higher_power_required,,3
5,8,6,"3,5,7,11,13,17,43,73",73,all_odd_primes_certified,,
5,8,10,"3,5,7,11,13,17,23,83",83,higher_power_required,,"3,13"
5,8,12,"3,5,7,11,13,17,31,71,107",107,all_odd_primes_certified,,
5,10,1,"3,5,7,11,13,17",17,all_odd_primes_certified,,
5,12,2,"3,5,7,11,13,17",17,all_odd_primes_certified,,
5,12,6,"3,5,7,11,13,17,31",31,all_odd_primes_certified,,
5,12,8,"3,5,7,11,13,17",17,all_odd_primes_certified,,
5,12,12,"3,5,7,11,13,17,19",19,higher_power_required,,7
5,12,18,"3,5,7,11,13,17,139,181",181,all_odd_primes_certified,,
8,5,2,"3,5,7,11,13,17,41",41,higher_power_required,,3
8,5,4,"3,5,7,11,13,17,41",41,higher_power_required,,3
8,5,6,"3,5,7,11,13,17,43,73",73,all_odd_primes_certified,,
8,5,10,"3,5,7,11,13,17,23,83",83,higher_power_required,,"3,13"
8,5,12,"3,5,7,11,13,17,31,71,107",107,all_odd_primes_certified,,
8,5,20,"3,5,7,11,13,17,31,53,521",521,higher_power_required,,3
8,8,1,"3,5,7,11,13,17",17,all_odd_primes_certified,,
8,10,2,"3,5,7,11,13,17,41",41,higher_power_required,,3
8,10,4,"3,5,7,11,13,17,41",41,higher_power_required,,3
8,10,6,"3,5,7,11,13,17,43,73",73,all_odd_primes_certified,,
8,10,10,"3,5,7,11,13,17,23,83",83,higher_power_required,,"3,13"
8,12,1,"3,5,7,11,13,17",17,all_odd_primes_certified,,
8,12,9,"3,5,7,11,13,17",17,all_odd_primes_certified,,
10,5,1,"3,5,7,11,13,17",17,all_odd_primes_certified,,
10,8,2,"3,5,7,11,13,17,41",41,higher_power_required,,3
10,8,4,"3,5,7,11,13,17,41",41,higher_power_required,,3
10,8,6,"3,5,7,11,13,17,43,73",73,all_odd_primes_certified,,
10,8,10,"3,5,7,11,13,17,23,83",83,higher_power_required,,"3,13"
10,8,12,"3,5,7,11,13,17,31,71,107",107,all_odd_primes_certified,,
10,10,3,"3,5,7,11,13,17,61",61,all_odd_primes_certified,,
10,12,2,"3,5,7,11,13,17",17,all_odd_primes_certified,,
10,12,6,"3,5,7,11,13,17,31",31,all_odd_primes_certified,,
10,12,8,"3,5,7,11,13,17",17,all_odd_primes_certified,,
10,12,12,"3,5,7,11,13,17,19",19,higher_power_required,,7
12,5,2,"3,5,7,11,13,17",17,all_odd_primes_certified,,
12,5,6,"3,5,7,11,13,17,31",31,all_odd_primes_certified,,
12,5,8,"3,5,7,11,13,17",17,all_odd_primes_certified,,
12,5,12,"3,5,7,11,13,17,19",19,higher_power_required,,7
12,5,18,"3,5,7,11,13,17,139,181",181,all_odd_primes_certified,,
12,5,20,"3,5,7,11,13,17,41,241",241,all_odd_primes_certified,,
12,8,1,"3,5,7,11,13,17",17,all_odd_primes_certified,,
12,8,9,"3,5,7,11,13,17",17,all_odd_primes_certified,,
12,10,2,"3,5,7,11,13,17",17,all_odd_primes_certified,,
12,10,6,"3,5,7,11,13,17,31",31,all_odd_primes_certified,,
12,10,8,"3,5,7,11,13,17",17,all_odd_primes_certified,,
12,10,12,"3,5,7,11,13,17,19",19,higher_power_required,,7
12,12,1,"3,5,7,11,13,17",17,all_odd_primes_certified,,
12,12,13,"3,5,7,11,13,17",17,all_odd_primes_certified,,
