degree_e1,degree_e2,bounded_side,bounded_multiplier,divisor_linear_coefficient,remainder_linear_coefficient,remainder_constant,exhaustive_gap_bound,gap_c,field_p,field_q,implicit_multiplier,status,rejection_reason
5,3,e2,1,2,-10,-5,19,,,,,finite_case_empty,no allowable even gap
5,3,e2,2,3,-66,-22,93,2,,,2,candidate_rejected,bounded quadratic quotient is not integral
5,3,e2,3,4,-228,-57,291,,,,,finite_case_empty,no allowable even gap
5,3,e2,4,5,-580,-116,703,,,,,finite_case_empty,no allowable even gap
5,3,e2,5,6,-1230,-205,1443,4,,,25,candidate_rejected,bounded quadratic quotient is not integral
5,3,e2,6,7,-2310,-330,2649,,,,,finite_case_empty,no allowable even gap
5,4,e2,1,1,-1,-1,5,,,,,finite_case_empty,no allowable even gap
5,4,e2,2,2,-20,-10,34,,,,,finite_case_empty,no allowable even gap
5,4,e2,3,3,-99,-33,137,2,,,3,candidate_rejected,bounded quadratic quotient is not integral
5,4,e2,4,4,-304,-76,386,,,,,finite_case_empty,no allowable even gap
5,4,e2,5,5,-725,-145,877,,,,,finite_case_empty,no allowable even gap
5,4,e2,6,6,-1476,-246,1730,4,,,30,candidate_rejected,bounded quadratic quotient is not integral
5,6,e2,1,0,0,1,3,,,,,finite_case_empty,no allowable even gap
5,6,e2,2,1,-2,-2,7,,,,,finite_case_empty,no allowable even gap
5,6,e2,3,2,-30,-15,49,,,,,finite_case_empty,no allowable even gap
5,6,e2,4,3,-132,-44,181,2,,,4,candidate_rejected,bounded quadratic quotient is not integral
5,6,e2,5,4,-380,-95,481,,,,,finite_case_empty,no allowable even gap
5,6,e2,6,5,-870,-174,1051,,,,,finite_case_empty,no allowable even gap
8,3,e2,1,2,-4,-2,10,,,,,finite_case_empty,no allowable even gap
8,3,e2,2,3,-42,-14,61,,,,,finite_case_empty,no allowable even gap
8,3,e2,3,4,-168,-42,216,,,,,finite_case_empty,no allowable even gap
8,3,e2,4,5,-460,-92,559,,,,,finite_case_empty,no allowable even gap
8,3,e2,5,6,-1020,-170,1198,2,,,5,candidate_rejected,bounded quadratic quotient is not integral
