degree_e1,degree_e2,multiplier_m,multiplier_n,gap_c,field_p,field_q,equation_a,equation_b,equation_c,status,rejection_reason
3,4,1,5,2,1,3,4,-10,4,finite_root_rejected,fields are not distinct primes at least 5
3,6,1,3,2,1,3,2,-5,2,finite_root_rejected,fields are not distinct primes at least 5
4,3,1,3,1,,,2,-4,2,finite_root_rejected,gap is odd but odd-prime difference is even
4,4,1,2,1,,,1,-2,1,finite_root_rejected,gap is odd but odd-prime difference is even
4,4,2,5,3,,,3,-10,3,finite_root_rejected,gap is odd but odd-prime difference is even
4,6,1,1,,,,0,0,0,infinite_mnt_family,none
4,6,2,6,2,,,4,-10,4,finite_root_rejected,cyclotomic quotient is not integral
6,3,2,6,1,,,4,-8,4,finite_root_rejected,gap is odd but odd-prime difference is even
6,4,1,1,,,,0,0,0,infinite_mnt_family,none
6,4,2,4,1,,,2,-4,2,finite_root_rejected,gap is odd but odd-prime difference is even
6,6,2,2,,,,0,0,0,identity_case_rejected,parity: odd cyclotomic value cannot equal 2 times odd prime
