cycle,position,field_prime,a,b,expected_order,bsgs_order,exhaustive_order,trace,cm_radicand,embedding_degree,coefficient_attempts,bsgs_isolation_failures,seed,elapsed_seconds
1135291-1136357,E1,1135291,112221,72348,1136357,1136357,1136357,-1065,3406939,4,5579,0,7207,2.968146
1135291-1136357,E2,1136357,340161,944748,1135291,1135291,1135291,1067,3406939,6,1059,0,7208,0.851697
1144901-1145971,E1,1144901,323488,442997,1145971,1145971,1145971,-1069,3436843,6,6404,0,7209,3.247403
1144901-1145971,E2,1145971,382734,1126659,1144901,1144901,1144901,1071,3436843,4,7143,0,7210,3.523973
1313317-1314463,E1,1313317,90607,820304,1314463,1314463,1314463,-1145,3942243,6,170,0,7211,0.497210
1313317-1314463,E2,1314463,963598,479617,1313317,1313317,1313317,1147,3942243,4,12832,0,7212,5.973636
1321351-1322501,E1,1321351,457902,450609,1322501,1322501,1322501,-1149,3965203,4,10126,0,7213,4.543922
1321351-1322501,E2,1322501,35737,598255,1321351,1321351,1321351,1151,3965203,6,12244,0,7214,5.574220
1462891-1464101,E1,1462891,648342,1217490,1464101,1464101,1464101,-1209,4389883,4,7623,0,7215,3.799028
1462891-1464101,E2,1464101,626898,1265770,1462891,1462891,1462891,1211,4389883,6,24717,0,7216,11.797307
1623077-1624351,E1,1623077,1396347,1229595,1624351,1624351,1624351,-1273,4871779,6,3221,0,7217,1.913951
1623077-1624351,E2,1624351,111792,268042,1623077,1623077,1623077,1275,4871779,4,1128,0,7218,0.975630
1626901-1628177,E1,1626901,437209,1098426,1628177,1628177,1628177,-1275,4881979,4,5949,0,7219,3.332428
1626901-1628177,E2,1628177,1042018,661761,1626901,1626901,1626901,1277,4881979,6,14307,0,7220,7.069554
1726597-1727911,E1,1726597,842377,532286,1727911,1727911,1727911,-1313,5182419,6,3130,0,7221,1.924879
1726597-1727911,E2,1727911,1262243,653645,1726597,1726597,1726597,1315,5182419,4,7641,0,7222,4.113624
1751653-1752977,E1,1751653,295959,1716558,1752977,1752977,1752977,-1323,5256283,4,43462,0,7223,21.332426
1751653-1752977,E2,1752977,597113,22920,1751653,1751653,1751653,1325,5256283,6,3253,0,7224,2.147370
1795601-1796941,E1,1795601,379729,316045,1796941,1796941,1796941,-1339,5389483,6,1182,0,7225,1.103001
1795601-1796941,E2,1796941,1103980,1196758,1795601,1795601,1795601,1341,5389483,4,9634,0,7226,5.278482
1821151-1822501,E1,1821151,1146086,797507,1822501,1822501,1822501,-1349,5464803,4,748,0,7227,0.927249
1821151-1822501,E2,1822501,1658412,1310752,1821151,1821151,1821151,1351,5464803,6,2396,0,7228,1.752701
1864591-1865957,E1,1864591,1832707,1767695,1865957,1865957,1865957,-1365,5595139,4,1089,0,7229,1.174494
1864591-1865957,E2,1865957,1303345,1199082,1864591,1864591,1864591,1367,5595139,6,1684,0,7230,1.416393
1886503-1887877,E1,1886503,1074669,1630965,1887877,1887877,1887877,-1373,5660883,4,1282,0,7231,1.178838
1886503-1887877,E2,1887877,1442785,1367357,1886503,1886503,1886503,1375,5660883,6,7593,0,7232,3.195285
2003641-2005057,E1,2003641,898833,1266758,2005057,2005057,2005057,-1415,6012339,4,3399,0,7233,1.624565
2003641-2005057,E2,2005057,561804,1073652,2003641,2003641,2003641,1417,6012339,6,9919,0,7234,3.559569
2056357-2057791,E1,2056357,1356397,1082019,2057791,2057791,2057791,-1433,6171939,6,2257,0,7235,1.142440
2056357-2057791,E2,2057791,575808,1792273,2056357,2056357,2056357,1435,6171939,4,10316,0,7236,4.077019
2073601-2075041,E1,2073601,248960,1561626,2075041,2075041,2075041,-1439,6223683,6,1455,0,7237,0.868116
2073601-2075041,E2,2075041,571072,243235,2073601,2073601,2073601,1441,6223683,4,8663,0,7238,3.520153
2232037-2233531,E1,2232037,737516,2045563,2233531,2233531,2233531,-1493,6699099,6,628,0,7239,0.623049
2232037-2233531,E2,2233531,2022161,72437,2232037,2232037,2232037,1495,6699099,4,3995,0,7240,1.554643
2452357-2453923,E1,2452357,1029924,1546646,2453923,2453923,2453923,-1565,7360203,6,7550,0,7241,2.876126
2452357-2453923,E2,2453923,267674,707785,2452357,2452357,2452357,1567,7360203,4,16798,0,7242,6.895551
2611457-2613073,E1,2611457,1437829,24777,2613073,2613073,2613073,-1615,7837603,6,26877,0,7243,10.399146
2611457-2613073,E2,2613073,68323,2064928,2611457,2611457,2611457,1617,7837603,4,5045,0,7244,3.675403
2702737-2704381,E1,2702737,1396413,386357,2704381,2704381,2704381,-1643,8111499,6,391,0,7245,1.065187
2702737-2704381,E2,2704381,1244191,2313789,2702737,2702737,2702737,1645,8111499,4,4552,0,7246,3.330722
2753941-2755601,E1,2753941,2731524,1579279,2755601,2755601,2755601,-1659,8263483,4,11661,0,7247,6.455820
2753941-2755601,E2,2755601,68149,545001,2753941,2753941,2753941,1661,8263483,6,1733,0,7248,1.790532
2808977-2810653,E1,2808977,1594278,837676,2810653,2810653,2810653,-1675,8430283,6,676,0,7249,1.293870
2808977-2810653,E2,2810653,1479164,77516,2808977,2808977,2808977,1677,8430283,4,12580,0,7250,7.361139
2840911-2842597,E1,2840911,2171312,749481,2842597,2842597,2842597,-1685,8524419,4,2815,0,7251,2.419765
2840911-2842597,E2,2842597,102757,2187272,2840911,2840911,2840911,1687,8524419,6,429,0,7252,1.241241
