cycle,position,field_prime,a,b,expected_order,bsgs_order,exhaustive_order,trace,cm_radicand,embedding_degree,coefficient_attempts,bsgs_isolation_failures,seed,elapsed_seconds,verification_method,independently_verified_order,witness_x,witness_y
4200451-4202501,E1,4200451,2853635,1550755,4202501,4202501,,-2049,12603403,4,5394,0,8207,1.816626,prime_point_hasse_certificate,4202501,0,2958225
4200451-4202501,E2,4202501,2826409,773185,4200451,4200451,,2051,12603403,6,28405,0,8208,8.050404,prime_point_hasse_certificate,4200451,2,383605
4218917-4220971,E1,4218917,1137439,680666,4220971,4220971,,-2053,12660859,6,2866,0,8209,0.933998,prime_point_hasse_certificate,4220971,2,1993195
4218917-4220971,E2,4220971,770883,3894516,4218917,4218917,,2055,12660859,4,118,0,8210,0.037463,prime_point_hasse_certificate,4218917,2,109782
4260097-4262161,E1,4260097,1419028,825346,4262161,4262161,,-2063,12784419,6,4897,0,8211,1.648418,prime_point_hasse_certificate,4262161,0,1035707
4260097-4262161,E2,4262161,3112765,334922,4260097,4260097,,2065,12784419,4,77,0,8212,0.024712,prime_point_hasse_certificate,4260097,0,542139
4299403-4301477,E1,4299403,4055147,2486623,4301477,4301477,,-2073,12900283,4,18079,0,8213,6.041031,prime_point_hasse_certificate,4301477,0,3650220
4299403-4301477,E2,4301477,1556922,2394241,4299403,4299403,,2075,12900283,6,16220,0,8214,5.630772,prime_point_hasse_certificate,4299403,4,1221771
4324321-4326401,E1,4324321,3425034,1953384,4326401,4326401,,-2079,12975043,4,8421,0,8215,3.335575,prime_point_hasse_certificate,4326401,0,1108942
4324321-4326401,E2,4326401,2349514,114513,4324321,4324321,,2081,12975043,6,13349,0,8216,4.491208,prime_point_hasse_certificate,4324321,4,2584725
4349311-4351397,E1,4349311,2743386,680985,4351397,4351397,,-2085,13050019,4,3741,0,8217,1.878554,prime_point_hasse_certificate,4351397,1,1781515
4349311-4351397,E2,4351397,1621926,3940193,4349311,4349311,,2087,13050019,6,1009,0,8218,0.538628,prime_point_hasse_certificate,4349311,1,2934253
4433131-4435237,E1,4433131,4293122,127050,4435237,4435237,,-2105,13301499,4,513,0,8219,0.289558,prime_point_hasse_certificate,4435237,0,3922635
4433131-4435237,E2,4435237,2507986,2776930,4433131,4433131,,2107,13301499,6,4408,0,8220,1.801251,prime_point_hasse_certificate,4433131,0,3088800
4562497-4564633,E1,4562497,387195,2669443,4564633,4564633,,-2135,13691763,6,8105,0,8221,2.966431,prime_point_hasse_certificate,4564633,0,437174
4562497-4564633,E2,4564633,3247642,386370,4562497,4562497,,2137,13691763,4,241,0,8222,0.091114,prime_point_hasse_certificate,4562497,0,3651852
5105341-5107601,E1,5105341,3381957,1581543,5107601,5107601,,-2259,15318283,4,2295,0,8223,0.865532,prime_point_hasse_certificate,5107601,0,3588312
5105341-5107601,E2,5107601,3767577,3338145,5105341,5105341,,2261,15318283,6,12817,0,8224,5.062893,prime_point_hasse_certificate,5105341,2,1536335
5306113-5308417,E1,5306113,3747573,5213743,5308417,5308417,,-2303,15920643,4,119,0,8225,0.047647,prime_point_hasse_certificate,5308417,0,1934275
5306113-5308417,E2,5308417,2987091,4071816,5306113,5306113,,2305,15920643,6,7035,0,8226,2.700388,prime_point_hasse_certificate,5306113,1,2619604
5333791-5336101,E1,5333791,3768604,597669,5336101,5336101,,-2309,16003683,4,2367,0,8227,0.807864,prime_point_hasse_certificate,5336101,3,671466
5333791-5336101,E2,5336101,4998696,2000295,5333791,5333791,,2311,16003683,6,1503,0,8228,0.504808,prime_point_hasse_certificate,5333791,2,2752563
5352283-5354597,E1,5352283,3270191,3015114,5354597,5354597,,-2313,16059163,4,429,0,8229,0.143994,prime_point_hasse_certificate,5354597,0,5212885
5352283-5354597,E2,5354597,3764929,2238221,5352283,5352283,,2315,16059163,6,436,0,8230,0.149734,prime_point_hasse_certificate,5352283,1,5083838
5569601-5571961,E1,5569601,639235,1217168,5571961,5571961,,-2359,16713523,6,9879,0,8231,3.715680,prime_point_hasse_certificate,5571961,1,4412863
5569601-5571961,E2,5571961,506943,1500269,5569601,5569601,,2361,16713523,4,6824,0,8232,2.472036,prime_point_hasse_certificate,5569601,1,2194584
5902471-5904901,E1,5902471,5260793,3853505,5904901,5904901,,-2429,17709843,4,5232,0,8233,1.993499,prime_point_hasse_certificate,5904901,1,5637538
5902471-5904901,E2,5904901,4791247,5509061,5902471,5902471,,2431,17709843,6,25341,0,8234,8.756240,prime_point_hasse_certificate,5902471,1,1806536
5904901-5907331,E1,5904901,2218036,2802556,5907331,5907331,,-2429,17719563,6,13087,0,8235,5.777287,prime_point_hasse_certificate,5907331,0,5261669
5904901-5907331,E2,5907331,1073539,5097689,5904901,5904901,,2431,17719563,4,5,0,8236,0.003580,prime_point_hasse_certificate,5904901,5,1385133
6031937-6034393,E1,6031937,1773343,2433943,6034393,6034393,,-2455,18100723,6,17891,0,8237,10.069859,prime_point_hasse_certificate,6034393,3,1329162
6031937-6034393,E2,6034393,5924419,2494407,6031937,6031937,,2457,18100723,4,422,0,8238,0.267311,prime_point_hasse_certificate,6031937,0,5369800
6068833-6071297,E1,6068833,3106905,5869040,6071297,6071297,,-2463,18208963,4,19574,0,8239,11.314623,prime_point_hasse_certificate,6071297,0,5921579
6068833-6071297,E2,6071297,4889215,2348582,6068833,6068833,,2465,18208963,6,21251,0,8240,8.216429,prime_point_hasse_certificate,6068833,0,5846176
6227521-6230017,E1,6227521,6007184,561212,6230017,6230017,,-2495,18685059,4,9698,0,8241,3.832053,prime_point_hasse_certificate,6230017,1,2817286
6227521-6230017,E2,6230017,1114450,3411254,6227521,6227521,,2497,18685059,6,20083,0,8242,12.007943,prime_point_hasse_certificate,6227521,1,4329081
6428761-6431297,E1,6428761,4335739,3825692,6431297,6431297,,-2535,19288819,4,7420,0,8243,4.076128,prime_point_hasse_certificate,6431297,1,1934921
6428761-6431297,E2,6431297,4791634,5236621,6428761,6428761,,2537,19288819,6,1367,0,8244,0.827342,prime_point_hasse_certificate,6428761,1,3793210
6780817-6783421,E1,6780817,4675111,188541,6783421,6783421,,-2603,20347659,6,624,0,8245,0.384148,prime_point_hasse_certificate,6783421,0,546958
6780817-6783421,E2,6783421,1774939,2793901,6780817,6780817,,2605,20347659,4,1239,0,8246,0.728837,prime_point_hasse_certificate,6780817,1,3224435
7001317-7003963,E1,7001317,2453845,1800084,7003963,7003963,,-2645,21009243,6,9275,0,8247,5.262835,prime_point_hasse_certificate,7003963,0,2568224
7001317-7003963,E2,7003963,6140569,968797,7001317,7001317,,2647,21009243,4,7981,0,8248,5.108561,prime_point_hasse_certificate,7001317,2,1509222
7094233-7096897,E1,7094233,6395985,6140104,7096897,7096897,,-2663,21285363,4,34532,0,8249,14.721509,prime_point_hasse_certificate,7096897,0,2413638
7094233-7096897,E2,7096897,818177,4724604,7094233,7094233,,2665,21285363,6,5974,0,8250,3.686433,prime_point_hasse_certificate,7094233,1,219724
7203857-7206541,E1,7203857,6578282,3415427,7206541,7206541,,-2683,21616939,6,2438,0,8251,1.020361,prime_point_hasse_certificate,7206541,0,7135614
7203857-7206541,E2,7206541,2144995,6435582,7203857,7203857,,2685,21616939,4,5848,0,8252,2.315086,prime_point_hasse_certificate,7203857,1,3401943
7450171-7452901,E1,7450171,23512,2585677,7452901,7452901,,-2729,22353243,4,2912,0,8253,1.221522,prime_point_hasse_certificate,7452901,1,6593289
7450171-7452901,E2,7452901,7206569,2974532,7450171,7450171,,2731,22353243,6,729,0,8254,0.320004,prime_point_hasse_certificate,7450171,1,3878122
7452901-7455631,E1,7452901,4480850,6688543,7455631,7455631,,-2729,22364163,6,1611,0,8255,0.633091,prime_point_hasse_certificate,7455631,3,3588054
7452901-7455631,E2,7455631,1243141,2172402,7452901,7452901,,2731,22364163,4,1171,0,8256,0.436632,prime_point_hasse_certificate,7452901,2,4058402
7482961-7485697,E1,7482961,5941810,3682827,7485697,7485697,,-2735,22451619,4,16855,0,8257,9.772589,prime_point_hasse_certificate,7485697,0,1068028
7482961-7485697,E2,7485697,7096338,3405135,7482961,7482961,,2737,22451619,6,510,0,8258,0.315388,prime_point_hasse_certificate,7482961,0,5223805
7485697-7488433,E1,7485697,7483141,5404870,7488433,7488433,,-2735,22462563,6,47498,0,8259,29.097546,prime_point_hasse_certificate,7488433,3,652728
7485697-7488433,E2,7488433,4867986,6243588,7485697,7485697,,2737,22462563,4,3719,0,8260,2.350202,prime_point_hasse_certificate,7485697,1,19635
7803643-7806437,E1,7803643,7375537,3523943,7806437,7806437,,-2793,23413723,4,2752,0,8261,1.684902,prime_point_hasse_certificate,7806437,2,3167784
7803643-7806437,E2,7806437,3619207,5891361,7803643,7803643,,2795,23413723,6,20528,0,8262,13.083000,prime_point_hasse_certificate,7803643,0,3247009
8119651-8122501,E1,8119651,345014,6132392,8122501,8122501,,-2849,24361803,4,5487,0,8263,3.370221,prime_point_hasse_certificate,8122501,0,3803505
8119651-8122501,E2,8122501,4563678,3164874,8119651,8119651,,2851,24361803,6,16116,0,8264,7.263685,prime_point_hasse_certificate,8119651,1,5489323
8202497-8205361,E1,8202497,6480883,8021738,8205361,8205361,,-2863,24613219,6,4516,0,8265,1.856002,prime_point_hasse_certificate,8205361,1,1881325
8202497-8205361,E2,8205361,7144874,6669178,8202497,8202497,,2865,24613219,4,8868,0,8266,3.767576,prime_point_hasse_certificate,8202497,0,3774410
8314573-8317457,E1,8314573,1096145,5833140,8317457,8317457,,-2883,24946603,4,18523,0,8267,8.191843,prime_point_hasse_certificate,8317457,1,5820369
8314573-8317457,E2,8317457,4875264,5157507,8314573,8314573,,2885,24946603,6,19455,0,8268,8.619289,prime_point_hasse_certificate,8314573,3,7337693
8558551-8561477,E1,8558551,4971899,1940854,8561477,8561477,,-2925,25678579,4,19098,0,8269,11.444399,prime_point_hasse_certificate,8561477,0,5251387
8558551-8561477,E2,8561477,8356030,200110,8558551,8558551,,2927,25678579,6,5030,0,8270,2.762102,prime_point_hasse_certificate,8558551,0,6798832
8664193-8667137,E1,8664193,7330033,3010698,8667137,8667137,,-2943,25995523,4,44577,0,8271,22.593064,prime_point_hasse_certificate,8667137,0,7728700
8664193-8667137,E2,8667137,8144793,3317056,8664193,8664193,,2945,25995523,6,27504,0,8272,17.339345,prime_point_hasse_certificate,8664193,0,4815078
9323863-9326917,E1,9323863,2204053,6651200,9326917,9326917,,-3053,27974643,4,14525,0,8273,9.078995,prime_point_hasse_certificate,9326917,4,3991402
9323863-9326917,E2,9326917,6805378,7635872,9323863,9323863,,3055,27974643,6,3278,0,8274,1.856811,prime_point_hasse_certificate,9323863,0,2973964
9569743-9572837,E1,9569743,6589744,3653275,9572837,9572837,,-3093,28712323,4,2405,0,8275,1.249721,prime_point_hasse_certificate,9572837,0,4605525
9569743-9572837,E2,9572837,5123610,1283142,9569743,9569743,,3095,28712323,6,157,0,8276,0.100101,prime_point_hasse_certificate,9569743,0,8416628
9831361-9834497,E1,9831361,8985354,626430,9834497,9834497,,-3135,29497219,4,3626,0,8277,2.494914,prime_point_hasse_certificate,9834497,3,4135224
