cycle,position,field_prime,a,b,expected_order,bsgs_order,exhaustive_order,trace,cm_radicand,embedding_degree,coefficient_attempts,bsgs_isolation_failures,seed,elapsed_seconds
7-13-11,E1,7,0,3,13,13,13,-5,3,12,90,20,4303,0.416835
7-13-11,E2,13,8,6,11,11,11,3,43,10,8,0,4304,0.000307
7-13-11,E3,11,6,6,7,7,7,5,19,3,17,1,4305,0.000621
11-13-17,E1,11,3,2,13,13,13,-1,43,12,45,2,4306,0.001443
11-13-17,E2,13,2,4,17,17,17,-3,43,4,28,0,4307,0.000702
11-13-17,E3,17,9,5,11,11,11,7,19,10,15,0,4308,0.000504
13-17-19,E1,13,5,9,17,17,17,-3,43,4,10,0,4309,0.000361
13-17-19,E2,17,9,13,19,19,19,-1,67,9,1,0,4310,0.000024
13-17-19,E3,19,0,3,13,13,13,7,27,12,12,0,4311,0.000413
23-29-31,E1,23,6,12,29,29,29,-5,67,7,23,0,4312,0.000663
23-29-31,E2,29,26,4,31,31,31,-1,115,10,62,1,4313,0.002577
23-29-31,E3,31,5,28,23,23,23,9,43,11,98,0,4314,0.003151
37-41-43,E1,37,27,11,41,41,41,-3,139,5,3,0,4315,0.000099
37-41-43,E2,41,27,30,43,43,43,-1,163,7,82,0,4316,0.003081
37-41-43,E3,43,36,5,37,37,37,7,123,4,45,0,4317,0.001480
