degree_e1,degree_e2,quotient_difference_h,prime,status,certificate_exponent,terminal_solution_count,field_gap_residue,field_p_residue,function_valuation,derivative_valuation
5,8,2,3,exact_integer_solution_certificate,1,1,0,1,1000000000,1
5,8,4,3,strong_hensel_certificate,2,9,8,2,5,2
5,8,10,3,finite_power_obstruction,2,0,,,,
5,8,10,13,finite_power_obstruction,2,0,,,,
5,12,12,7,strong_hensel_certificate,2,49,7,47,4,1
8,5,2,3,exact_integer_solution_certificate,1,1,0,1,1000000000,1
8,5,4,3,exact_integer_solution_certificate,1,1,1,1,1000000000,2
8,5,10,3,finite_power_obstruction,2,0,,,,
8,5,10,13,finite_power_obstruction,2,0,,,,
8,5,20,3,strong_hensel_certificate,2,9,0,7,5,1
8,10,2,3,strong_hensel_certificate,2,9,0,5,3,1
8,10,4,3,strong_hensel_certificate,2,9,8,8,5,2
8,10,10,3,finite_power_obstruction,2,0,,,,
8,10,10,13,finite_power_obstruction,2,0,,,,
10,8,2,3,strong_hensel_certificate,2,9,6,5,5,1
10,8,4,3,strong_hensel_certificate,2,9,1,7,5,2
10,8,10,3,finite_power_obstruction,2,0,,,,
10,8,10,13,finite_power_obstruction,2,0,,,,
10,12,12,7,strong_hensel_certificate,2,49,28,9,3,1
12,5,12,7,strong_hensel_certificate,2,49,7,26,3,1
12,10,12,7,strong_hensel_certificate,2,49,7,44,4,1
