degree_e1,degree_e2,quotient_difference_h,status,certificate_exponent,terminal_solution_count,field_gap_residue,field_p_residue,function_valuation,derivative_valuation
5,5,3,exact_integer_solution_certificate,1,1,0,1,1000000000,1
5,5,15,strong_hensel_certificate,2,4,0,3,7,2
5,8,2,exact_integer_solution_certificate,1,1,0,1,1000000000,0
5,8,4,strong_hensel_certificate,1,1,0,1,1,0
5,8,6,strong_hensel_certificate,1,1,0,1,2,0
5,8,12,strong_hensel_certificate,1,1,0,1,1,0
5,10,1,exact_integer_solution_certificate,1,1,0,1,1000000000,1
5,12,2,exact_integer_solution_certificate,1,1,0,1,1000000000,0
5,12,6,strong_hensel_certificate,1,1,0,1,2,0
5,12,8,strong_hensel_certificate,1,1,0,1,1,0
5,12,12,strong_hensel_certificate,1,1,0,1,1,0
5,12,18,strong_hensel_certificate,1,1,0,1,4,0
8,5,2,exact_integer_solution_certificate,1,1,0,1,1000000000,0
8,5,4,strong_hensel_certificate,1,1,0,1,1,0
8,5,6,strong_hensel_certificate,1,1,0,1,2,0
8,5,12,strong_hensel_certificate,1,1,0,1,1,0
8,5,20,strong_hensel_certificate,1,1,0,1,1,0
8,8,1,exact_integer_solution_certificate,1,1,0,1,1000000000,0
8,10,2,strong_hensel_certificate,1,1,0,1,1,0
8,10,4,strong_hensel_certificate,1,1,0,1,2,0
8,10,6,strong_hensel_certificate,1,1,0,1,1,0
8,12,1,exact_integer_solution_certificate,1,1,0,1,1000000000,1
8,12,9,strong_hensel_certificate,1,1,0,1,3,1
10,5,1,exact_integer_solution_certificate,1,1,0,1,1000000000,1
10,8,2,strong_hensel_certificate,1,1,0,1,1,0
10,8,4,strong_hensel_certificate,1,1,0,1,2,0
10,8,6,strong_hensel_certificate,1,1,0,1,1,0
10,8,12,strong_hensel_certificate,1,1,0,1,2,0
10,10,3,strong_hensel_certificate,2,4,0,3,5,1
10,12,2,strong_hensel_certificate,1,1,0,1,1,0
10,12,6,strong_hensel_certificate,1,1,0,1,1,0
10,12,8,strong_hensel_certificate,1,1,0,1,3,0
10,12,12,strong_hensel_certificate,1,1,0,1,2,0
12,5,2,exact_integer_solution_certificate,1,1,0,1,1000000000,0
12,5,6,strong_hensel_certificate,1,1,0,1,2,0
12,5,8,strong_hensel_certificate,1,1,0,1,1,0
12,5,12,strong_hensel_certificate,1,1,0,1,1,0
12,5,18,strong_hensel_certificate,1,1,0,1,4,0
12,5,20,strong_hensel_certificate,1,1,0,1,1,0
12,8,1,exact_integer_solution_certificate,1,1,0,1,1000000000,1
12,8,9,strong_hensel_certificate,1,1,0,1,3,1
12,10,2,strong_hensel_certificate,1,1,0,1,1,0
12,10,6,strong_hensel_certificate,1,1,0,1,1,0
12,10,8,strong_hensel_certificate,1,1,0,1,3,0
12,10,12,strong_hensel_certificate,1,1,0,1,2,0
12,12,1,exact_integer_solution_certificate,1,1,0,1,1000000000,0
12,12,13,strong_hensel_certificate,1,1,0,1,2,0
