degree_e1,degree_e2,quotient_difference_h,g_coefficients,discriminant_coefficients,discriminant_degree,odd_squarefree_degree,classification
5,5,-24,"-2,0,-2","-92,0,488,0,-92",4,4,genus_one_after_square_removal
5,5,-23,"-2,0,-2","-88,0,445,0,-88",4,4,genus_one_after_square_removal
5,5,-22,"-2,0,-2","-84,0,404,0,-84",4,4,genus_one_after_square_removal
5,5,-21,"-2,0,-2","-80,0,365,0,-80",4,4,genus_one_after_square_removal
5,5,-20,"-2,0,-2","-76,0,328,0,-76",4,4,genus_one_after_square_removal
5,5,-19,"-2,0,-2","-72,0,293,0,-72",4,4,genus_one_after_square_removal
5,5,-18,"-2,0,-2","-68,0,260,0,-68",4,4,genus_one_after_square_removal
5,5,-17,"-2,0,-2","-64,0,229,0,-64",4,4,genus_one_after_square_removal
5,5,-16,"-2,0,-2","-60,0,200,0,-60",4,4,genus_one_after_square_removal
5,5,-15,"-2,0,-2","-56,0,173,0,-56",4,4,genus_one_after_square_removal
5,5,-14,"-2,0,-2","-52,0,148,0,-52",4,4,genus_one_after_square_removal
5,5,-13,"-2,0,-2","-48,0,125,0,-48",4,4,genus_one_after_square_removal
5,5,-12,"-2,0,-2","-44,0,104,0,-44",4,4,genus_one_after_square_removal
5,5,-11,"-2,0,-2","-40,0,85,0,-40",4,4,genus_one_after_square_removal
5,5,-10,"-2,0,-2","-36,0,68,0,-36",4,4,genus_one_after_square_removal
5,5,-9,"-2,0,-2","-32,0,53,0,-32",4,4,genus_one_after_square_removal
5,5,-8,"-2,0,-2","-28,0,40,0,-28",4,4,genus_one_after_square_removal
5,5,-7,"-2,0,-2","-24,0,29,0,-24",4,4,genus_one_after_square_removal
5,5,-6,"-2,0,-2","-20,0,20,0,-20",4,4,genus_one_after_square_removal
5,5,-5,"-2,0,-2","-16,0,13,0,-16",4,4,genus_one_after_square_removal
5,5,-4,"-2,0,-2","-12,0,8,0,-12",4,4,genus_one_after_square_removal
5,5,-3,"-2,0,-2","-8,0,5,0,-8",4,4,genus_one_after_square_removal
5,5,-2,"-2,0,-2","-4,0,4,0,-4",4,4,genus_one_after_square_removal
5,5,-1,"-2,0,-2","0,0,5",2,0,constant_nonsquare_times_square
5,5,0,"-2,0,-2",,,,h0_finite_divisibility
5,5,1,"-2,0,-2","8,0,13,0,8",4,4,genus_one_after_square_removal
5,5,2,"-2,0,-2","12,0,20,0,12",4,4,genus_one_after_square_removal
5,5,3,"-2,0,-2","16,0,29,0,16",4,4,genus_one_after_square_removal
5,5,4,"-2,0,-2","20,0,40,0,20",4,0,constant_nonsquare_times_square
5,5,5,"-2,0,-2","24,0,53,0,24",4,4,genus_one_after_square_removal
5,5,6,"-2,0,-2","28,0,68,0,28",4,4,genus_one_after_square_removal
5,5,7,"-2,0,-2","32,0,85,0,32",4,4,genus_one_after_square_removal
5,5,8,"-2,0,-2","36,0,104,0,36",4,4,genus_one_after_square_removal
5,5,9,"-2,0,-2","40,0,125,0,40",4,4,genus_one_after_square_removal
5,5,10,"-2,0,-2","44,0,148,0,44",4,4,genus_one_after_square_removal
5,5,11,"-2,0,-2","48,0,173,0,48",4,4,genus_one_after_square_removal
5,5,12,"-2,0,-2","52,0,200,0,52",4,4,genus_one_after_square_removal
5,5,13,"-2,0,-2","56,0,229,0,56",4,4,genus_one_after_square_removal
5,5,14,"-2,0,-2","60,0,260,0,60",4,4,genus_one_after_square_removal
5,5,15,"-2,0,-2","64,0,293,0,64",4,4,genus_one_after_square_removal
5,5,16,"-2,0,-2","68,0,328,0,68",4,4,genus_one_after_square_removal
5,5,17,"-2,0,-2","72,0,365,0,72",4,4,genus_one_after_square_removal
5,5,18,"-2,0,-2","76,0,404,0,76",4,4,genus_one_after_square_removal
5,5,19,"-2,0,-2","80,0,445,0,80",4,4,genus_one_after_square_removal
5,5,20,"-2,0,-2","84,0,488,0,84",4,4,genus_one_after_square_removal
5,5,21,"-2,0,-2","88,0,533,0,88",4,4,genus_one_after_square_removal
5,5,22,"-2,0,-2","92,0,580,0,92",4,4,genus_one_after_square_removal
5,5,23,"-2,0,-2","96,0,629,0,96",4,4,genus_one_after_square_removal
5,5,24,"-2,0,-2","100,0,680,0,100",4,4,genus_one_after_square_removal
5,8,-24,"-1,1,-1","-95,46,531,46,-95",4,4,genus_one_after_square_removal
5,8,-23,"-1,1,-1","-91,44,486,44,-91",4,4,genus_one_after_square_removal
5,8,-22,"-1,1,-1","-87,42,443,42,-87",4,4,genus_one_after_square_removal
5,8,-21,"-1,1,-1","-83,40,402,40,-83",4,4,genus_one_after_square_removal
5,8,-20,"-1,1,-1","-79,38,363,38,-79",4,4,genus_one_after_square_removal
5,8,-19,"-1,1,-1","-75,36,326,36,-75",4,4,genus_one_after_square_removal
5,8,-18,"-1,1,-1","-71,34,291,34,-71",4,4,genus_one_after_square_removal
5,8,-17,"-1,1,-1","-67,32,258,32,-67",4,4,genus_one_after_square_removal
5,8,-16,"-1,1,-1","-63,30,227,30,-63",4,4,genus_one_after_square_removal
5,8,-15,"-1,1,-1","-59,28,198,28,-59",4,4,genus_one_after_square_removal
5,8,-14,"-1,1,-1","-55,26,171,26,-55",4,4,genus_one_after_square_removal
5,8,-13,"-1,1,-1","-51,24,146,24,-51",4,4,genus_one_after_square_removal
5,8,-12,"-1,1,-1","-47,22,123,22,-47",4,4,genus_one_after_square_removal
5,8,-11,"-1,1,-1","-43,20,102,20,-43",4,4,genus_one_after_square_removal
5,8,-10,"-1,1,-1","-39,18,83,18,-39",4,4,genus_one_after_square_removal
5,8,-9,"-1,1,-1","-35,16,66,16,-35",4,4,genus_one_after_square_removal
5,8,-8,"-1,1,-1","-31,14,51,14,-31",4,4,genus_one_after_square_removal
5,8,-7,"-1,1,-1","-27,12,38,12,-27",4,4,genus_one_after_square_removal
5,8,-6,"-1,1,-1","-23,10,27,10,-23",4,4,genus_one_after_square_removal
5,8,-5,"-1,1,-1","-19,8,18,8,-19",4,4,genus_one_after_square_removal
5,8,-4,"-1,1,-1","-15,6,11,6,-15",4,4,genus_one_after_square_removal
5,8,-3,"-1,1,-1","-11,4,6,4,-11",4,4,genus_one_after_square_removal
5,8,-2,"-1,1,-1","-7,2,3,2,-7",4,4,genus_one_after_square_removal
5,8,-1,"-1,1,-1","-3,0,2,0,-3",4,4,genus_one_after_square_removal
