degree_e1,degree_e2,quotient_difference_h,maximum_gap,wheel_candidate_gaps,gap_c,field_p,field_q,status,rejection_reason
5,5,3,100000,1349,,,,no_integral_point_in_range,none
5,5,15,100000,987,,,,no_integral_point_in_range,none
5,8,2,100000,837,,,,no_integral_point_in_range,none
5,8,4,100000,362,,,,no_integral_point_in_range,none
5,8,6,100000,1060,,,,no_integral_point_in_range,none
5,8,10,100000,850,,,,no_integral_point_in_range,none
5,8,12,100000,2614,,,,no_integral_point_in_range,none
5,10,1,100000,1489,,,,no_integral_point_in_range,none
5,12,2,100000,5268,,,,no_integral_point_in_range,none
5,12,6,100000,6149,,,,no_integral_point_in_range,none
5,12,8,100000,3835,,,,no_integral_point_in_range,none
5,12,12,100000,796,,,,no_integral_point_in_range,none
5,12,18,100000,3910,,,,no_integral_point_in_range,none
8,5,2,100000,838,,,,no_integral_point_in_range,none
8,5,4,100000,354,,,,no_integral_point_in_range,none
8,5,6,100000,1065,,,,no_integral_point_in_range,none
8,5,10,100000,851,,,,no_integral_point_in_range,none
8,5,12,100000,2604,,,,no_integral_point_in_range,none
8,5,20,100000,747,,,,no_integral_point_in_range,none
8,8,1,100000,4402,,,,no_integral_point_in_range,none
8,10,2,100000,837,,,,no_integral_point_in_range,none
8,10,4,100000,362,,,,no_integral_point_in_range,none
8,10,6,100000,1060,,,,no_integral_point_in_range,none
8,10,10,100000,850,,,,no_integral_point_in_range,none
8,12,1,100000,450,,,,no_integral_point_in_range,none
8,12,9,100000,1500,,,,no_integral_point_in_range,none
10,5,1,100000,1489,,,,no_integral_point_in_range,none
10,8,2,100000,838,,,,no_integral_point_in_range,none
10,8,4,100000,354,,,,no_integral_point_in_range,none
10,8,6,100000,1065,,,,no_integral_point_in_range,none
10,8,10,100000,851,,,,no_integral_point_in_range,none
10,8,12,100000,2604,,,,no_integral_point_in_range,none
10,10,3,100000,1349,,,,no_integral_point_in_range,none
10,12,2,100000,5272,,,,no_integral_point_in_range,none
10,12,6,100000,6142,,,,no_integral_point_in_range,none
10,12,8,100000,3833,,,,no_integral_point_in_range,none
10,12,12,100000,799,,,,no_integral_point_in_range,none
12,5,2,100000,5272,,,,no_integral_point_in_range,none
12,5,6,100000,6142,,,,no_integral_point_in_range,none
12,5,8,100000,3833,,,,no_integral_point_in_range,none
12,5,12,100000,799,,,,no_integral_point_in_range,none
12,5,18,100000,3915,,,,no_integral_point_in_range,none
12,5,20,100000,3354,,,,no_integral_point_in_range,none
12,8,1,100000,450,,,,no_integral_point_in_range,none
12,8,9,100000,1500,,,,no_integral_point_in_range,none
12,10,2,100000,5268,,,,no_integral_point_in_range,none
12,10,6,100000,6149,,,,no_integral_point_in_range,none
12,10,8,100000,3835,,,,no_integral_point_in_range,none
12,10,12,100000,796,,,,no_integral_point_in_range,none
12,12,1,100000,915,,,,no_integral_point_in_range,none
12,12,13,100000,956,,,,no_integral_point_in_range,none
