field_prime_e1,field_prime_e2,field_prime_e3,trace_e1,trace_e2,trace_e3,cm_discriminant_e1,cm_conductor_e1,cm_discriminant_e2,cm_conductor_e2,cm_discriminant_e3,cm_conductor_e3,embedding_degree_e1,embedding_degree_e2,embedding_degree_e3,target_position_count,rho_max,status,first_rejecting_condition
7,11,13,-3,-1,7,-19,1,-43,1,-3,1,10,12,2,2,1.318123223062,two_of_three,k3_not_in_3_18
7,13,11,-5,3,5,-3,1,-43,1,-19,1,12,10,3,3,1.232274405867,hit,none
11,13,17,-1,-3,7,-43,1,-43,1,-19,1,12,4,10,3,1.181541736287,hit,none
11,17,13,-5,5,3,-19,1,-43,1,-43,1,16,6,10,3,1.104588414510,hit,none
13,17,19,-3,-1,7,-43,1,-67,1,-3,3,4,9,12,3,1.147952091374,hit,none
13,19,17,-5,3,5,-3,3,-67,1,-43,1,18,8,6,3,1.104588414510,hit,none
17,19,23,-1,-3,7,-67,1,-67,1,-43,1,9,>18,16,2,1.106691884855,two_of_three,k2_not_in_3_18
17,23,19,-5,5,3,-43,1,-67,1,-67,1,>18,9,8,2,1.064886804622,two_of_three,k1_not_in_3_18
23,29,31,-5,-1,9,-67,1,-115,1,-43,1,7,10,11,3,1.095198067035,hit,none
23,31,29,-7,3,7,-43,1,-115,1,-67,1,10,>18,11,2,1.073928254398,two_of_three,k2_not_in_3_18
29,31,37,-1,-5,9,-115,1,-11,3,-67,1,10,4,>18,2,1.072349474165,two_of_three,k3_not_in_3_18
29,37,31,-7,7,3,-67,1,-11,3,-115,1,12,6,>18,2,1.051523403444,two_of_three,k3_not_in_3_18
31,37,41,-5,-3,11,-11,3,-139,1,-43,1,4,5,15,3,1.081416978448,hit,none
31,37,43,-5,-5,13,-11,3,-123,1,-3,1,4,6,>18,2,1.095286584289,two_of_three,k3_not_in_3_18
31,41,37,-9,5,7,-43,1,-139,1,-11,3,10,18,6,3,1.051523403444,hit,none
31,41,43,-9,-1,13,-43,1,-163,1,-3,1,10,7,>18,2,1.095286584289,two_of_three,k3_not_in_3_18
31,43,37,-11,7,7,-3,1,-123,1,-11,3,>18,4,6,2,1.051523403444,two_of_three,k1_not_in_3_18
37,41,43,-3,-1,7,-139,1,-163,1,-123,1,5,7,4,3,1.041618836729,hit,none
37,41,47,-3,-5,11,-139,1,-139,1,-67,1,5,>18,3,2,1.066251766131,two_of_three,k2_not_in_3_18
37,43,41,-5,3,5,-123,1,-163,1,-139,1,6,>18,18,2,1.028428825175,two_of_three,k2_not_in_3_18
37,43,47,-5,-3,11,-123,1,-163,1,-67,1,6,>18,3,2,1.066251766131,two_of_three,k2_not_in_3_18
37,47,43,-9,5,7,-67,1,-163,1,-123,1,>18,7,4,2,1.041618836729,two_of_three,k1_not_in_3_18
61,71,73,-9,-1,13,-163,1,-283,1,-123,1,>18,18,15,2,1.043685499217,two_of_three,k1_not_in_3_18
