degree_e1,degree_e2,quotient_difference_h,status,obstruction_reason,discriminant_sign,boundary_value_sign,boundary_derivative_sign
5,5,-21,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,5,-13,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,5,3,survivor,none,1,-1,-1
5,5,15,survivor,none,1,-1,1
5,8,-24,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,8,-20,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,8,-18,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,8,-16,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,8,-14,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,8,-8,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,8,-6,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,8,2,survivor,none,1,-1,1
5,8,4,survivor,none,1,-1,1
5,8,6,survivor,none,1,-1,1
5,8,10,survivor,none,1,-1,1
5,8,12,survivor,none,1,-1,1
5,8,20,archimedean_obstructed,positive_and_increasing_above_hasse_boundary,1,1,1
5,8,24,archimedean_obstructed,positive_and_increasing_above_hasse_boundary,1,1,1
5,10,-11,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,10,1,survivor,none,1,-1,1
5,12,-24,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,12,-22,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,12,-12,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,12,-10,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
5,12,2,survivor,none,1,-1,1
5,12,6,survivor,none,1,-1,1
5,12,8,survivor,none,1,-1,1
5,12,12,survivor,none,1,-1,1
5,12,18,survivor,none,1,-1,1
5,12,20,archimedean_obstructed,positive_and_increasing_above_hasse_boundary,1,1,1
8,5,-24,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
8,5,-20,archimedean_obstructed,negative_discriminant_on_ray,-1,-1,-1
