degree_e1,degree_e2,quotient_difference_h,status,obstruction_modulus,obstruction_kind,moduli_tested
5,5,-24,locally_obstructed,8,two_power_parity,1
5,5,-23,locally_obstructed,8,two_power_parity,1
5,5,-22,locally_obstructed,8,two_power_parity,1
5,5,-21,local_survivor,,none,56
5,5,-20,locally_obstructed,8,two_power_parity,1
5,5,-19,locally_obstructed,8,two_power_parity,1
5,5,-18,locally_obstructed,8,two_power_parity,1
5,5,-17,locally_obstructed,3,odd_prime_with_prime_fields,4
5,5,-16,locally_obstructed,8,two_power_parity,1
5,5,-15,locally_obstructed,8,two_power_parity,1
5,5,-14,locally_obstructed,8,two_power_parity,1
5,5,-13,local_survivor,,none,56
5,5,-12,locally_obstructed,8,two_power_parity,1
5,5,-11,locally_obstructed,8,two_power_parity,1
5,5,-10,locally_obstructed,8,two_power_parity,1
5,5,-9,locally_obstructed,16,two_power_parity,2
5,5,-8,locally_obstructed,8,two_power_parity,1
5,5,-7,locally_obstructed,8,two_power_parity,1
5,5,-6,locally_obstructed,8,two_power_parity,1
5,5,-5,locally_obstructed,3,odd_prime_with_prime_fields,4
5,5,-4,locally_obstructed,8,two_power_parity,1
5,5,-3,locally_obstructed,8,two_power_parity,1
5,5,-2,locally_obstructed,8,two_power_parity,1
5,5,1,locally_obstructed,8,two_power_parity,1
5,5,2,locally_obstructed,8,two_power_parity,1
5,5,3,local_survivor,,none,56
5,5,5,locally_obstructed,8,two_power_parity,1
5,5,6,locally_obstructed,8,two_power_parity,1
5,5,7,locally_obstructed,16,two_power_parity,2
5,5,8,locally_obstructed,8,two_power_parity,1
5,5,9,locally_obstructed,8,two_power_parity,1
5,5,10,locally_obstructed,8,two_power_parity,1
5,5,11,locally_obstructed,7,odd_prime_with_prime_fields,6
5,5,12,locally_obstructed,8,two_power_parity,1
5,5,13,locally_obstructed,8,two_power_parity,1
5,5,14,locally_obstructed,8,two_power_parity,1
5,5,15,local_survivor,,none,56
5,5,16,locally_obstructed,8,two_power_parity,1
5,5,17,locally_obstructed,8,two_power_parity,1
5,5,18,locally_obstructed,8,two_power_parity,1
5,5,19,locally_obstructed,3,odd_prime_with_prime_fields,4
5,5,20,locally_obstructed,8,two_power_parity,1
5,5,21,locally_obstructed,8,two_power_parity,1
5,5,22,locally_obstructed,8,two_power_parity,1
5,5,23,locally_obstructed,16,two_power_parity,2
5,5,24,locally_obstructed,8,two_power_parity,1
5,8,-24,local_survivor,,none,56
5,8,-23,locally_obstructed,8,two_power_parity,1
5,8,-22,locally_obstructed,5,odd_prime_with_prime_fields,5
5,8,-21,locally_obstructed,8,two_power_parity,1
5,8,-20,local_survivor,,none,56
5,8,-19,locally_obstructed,8,two_power_parity,1
5,8,-18,local_survivor,,none,56
5,8,-17,locally_obstructed,8,two_power_parity,1
5,8,-16,local_survivor,,none,56
5,8,-15,locally_obstructed,8,two_power_parity,1
5,8,-14,local_survivor,,none,56
5,8,-13,locally_obstructed,8,two_power_parity,1
5,8,-12,locally_obstructed,5,odd_prime_with_prime_fields,5
5,8,-11,locally_obstructed,8,two_power_parity,1
5,8,-10,locally_obstructed,53,odd_prime_with_prime_fields,18
5,8,-9,locally_obstructed,8,two_power_parity,1
5,8,-8,local_survivor,,none,56
5,8,-7,locally_obstructed,8,two_power_parity,1
5,8,-6,local_survivor,,none,56
5,8,-5,locally_obstructed,8,two_power_parity,1
5,8,-4,locally_obstructed,13,odd_prime_with_prime_fields,8
5,8,-3,locally_obstructed,8,two_power_parity,1
5,8,-2,locally_obstructed,5,odd_prime_with_prime_fields,5
5,8,-1,locally_obstructed,8,two_power_parity,1
5,8,1,locally_obstructed,8,two_power_parity,1
5,8,2,local_survivor,,none,56
5,8,3,locally_obstructed,8,two_power_parity,1
5,8,4,local_survivor,,none,56
5,8,5,locally_obstructed,8,two_power_parity,1
5,8,6,local_survivor,,none,56
5,8,7,locally_obstructed,8,two_power_parity,1
5,8,8,locally_obstructed,5,odd_prime_with_prime_fields,5
5,8,9,locally_obstructed,8,two_power_parity,1
5,8,10,local_survivor,,none,56
5,8,11,locally_obstructed,8,two_power_parity,1
5,8,12,local_survivor,,none,56
5,8,13,locally_obstructed,8,two_power_parity,1
5,8,14,locally_obstructed,37,odd_prime_with_prime_fields,14
5,8,15,locally_obstructed,8,two_power_parity,1
5,8,16,locally_obstructed,53,odd_prime_with_prime_fields,18
5,8,17,locally_obstructed,8,two_power_parity,1
5,8,18,locally_obstructed,5,odd_prime_with_prime_fields,5
5,8,19,locally_obstructed,8,two_power_parity,1
5,8,20,local_survivor,,none,56
5,8,21,locally_obstructed,8,two_power_parity,1
5,8,22,locally_obstructed,13,odd_prime_with_prime_fields,8
5,8,23,locally_obstructed,8,two_power_parity,1
5,8,24,local_survivor,,none,56
5,10,-24,locally_obstructed,8,two_power_parity,1
5,10,-23,locally_obstructed,7,odd_prime_with_prime_fields,6
5,10,-22,locally_obstructed,8,two_power_parity,1
5,10,-21,locally_obstructed,8,two_power_parity,1
5,10,-19,locally_obstructed,16,two_power_parity,2
5,10,-18,locally_obstructed,8,two_power_parity,1
5,10,-17,locally_obstructed,8,two_power_parity,1
5,10,-16,locally_obstructed,8,two_power_parity,1
5,10,-15,locally_obstructed,3,odd_prime_with_prime_fields,4
5,10,-14,locally_obstructed,8,two_power_parity,1
5,10,-13,locally_obstructed,8,two_power_parity,1
5,10,-12,locally_obstructed,8,two_power_parity,1
5,10,-11,local_survivor,,none,56
5,10,-10,locally_obstructed,8,two_power_parity,1
5,10,-9,locally_obstructed,8,two_power_parity,1
5,10,-8,locally_obstructed,8,two_power_parity,1
5,10,-7,locally_obstructed,7,odd_prime_with_prime_fields,6
5,10,-6,locally_obstructed,8,two_power_parity,1
5,10,-5,locally_obstructed,8,two_power_parity,1
5,10,-3,locally_obstructed,16,two_power_parity,2
5,10,-2,locally_obstructed,8,two_power_parity,1
5,10,-1,locally_obstructed,8,two_power_parity,1
5,10,1,local_survivor,,none,56
5,10,2,locally_obstructed,8,two_power_parity,1
5,10,3,locally_obstructed,8,two_power_parity,1
5,10,4,locally_obstructed,8,two_power_parity,1
5,10,6,locally_obstructed,8,two_power_parity,1
5,10,7,locally_obstructed,8,two_power_parity,1
5,10,8,locally_obstructed,8,two_power_parity,1
5,10,9,locally_obstructed,3,odd_prime_with_prime_fields,4
5,10,10,locally_obstructed,8,two_power_parity,1
5,10,11,locally_obstructed,8,two_power_parity,1
5,10,12,locally_obstructed,8,two_power_parity,1
5,10,13,locally_obstructed,16,two_power_parity,2
5,10,14,locally_obstructed,8,two_power_parity,1
5,10,15,locally_obstructed,8,two_power_parity,1
5,10,16,locally_obstructed,8,two_power_parity,1
5,10,17,locally_obstructed,17,odd_prime_with_prime_fields,9
5,10,18,locally_obstructed,8,two_power_parity,1
5,10,19,locally_obstructed,8,two_power_parity,1
5,10,20,locally_obstructed,8,two_power_parity,1
5,10,21,locally_obstructed,3,odd_prime_with_prime_fields,4
5,10,22,locally_obstructed,8,two_power_parity,1
5,10,23,locally_obstructed,8,two_power_parity,1
5,10,24,locally_obstructed,8,two_power_parity,1
5,12,-24,local_survivor,,none,56
5,12,-23,locally_obstructed,8,two_power_parity,1
5,12,-22,local_survivor,,none,56
