candidate_id,a0,a1,b0,b1,norm_f,factorization_f,largest_prime_f,norm_g,factorization_g,largest_prime_g,baseline_f,baseline_factorization_f,baseline_largest_prime_f,baseline_g,baseline_factorization_g,baseline_largest_prime_g,actual_f_B7,actual_g_B7,actual_joint_B7,baseline_f_B7,baseline_g_B7,baseline_joint_B7,actual_f_B13,actual_g_B13,actual_joint_B13,baseline_f_B13,baseline_g_B13,baseline_joint_B13
0,-2,-2,-2,-1,4936,2^3*617^1,617,2096,2^4*131^1,131,7751,23^1*337^1,337,2500,2^2*5^4,5,0,0,0,0,1,0,0,0,0,0,1,0
1,-2,-2,-2,1,648,2^3*3^4,3,3888,2^4*3^5,3,1002,2^1*3^1*167^1,167,3417,3^1*17^1*67^1,67,1,1,1,0,0,0,1,1,1,0,0,0
2,-2,-2,-1,-2,8777,67^1*131^1,131,4012,2^2*17^1*59^1,59,9847,43^1*229^1,229,2191,7^1*313^1,313,0,0,0,0,0,0,0,0,0,0,0,0
3,-2,-2,-1,-1,3267,3^3*11^2,11,972,2^2*3^5,3,2422,2^1*7^1*173^1,173,597,3^1*199^1,199,0,1,0,0,0,0,1,1,1,0,0,0
4,-2,-2,-1,0,1569,3^1*523^1,523,1964,2^2*491^1,491,1459,1459^1,1459,1275,3^1*5^2*17^1,17,0,0,0,0,0,0,0,0,0,0,0,0
5,-2,-2,-1,1,1523,1523^1,1523,268,2^2*67^1,67,1275,3^1*5^2*17^1,17,411,3^1*137^1,137,0,0,0,0,0,0,0,0,0,0,0,0
6,-2,-2,-1,2,3753,3^3*139^1,139,8748,2^2*3^7,3,2818,2^1*1409^1,1409,12882,2^1*3^1*19^1*113^1,113,0,1,0,0,0,0,0,1,0,0,0,0
7,-2,-2,0,-1,1944,2^3*3^5,3,2224,2^4*139^1,139,1960,2^3*5^1*7^2,7,2831,19^1*149^1,149,1,0,0,1,0,0,1,0,0,1,0,0
8,-2,-2,0,1,2008,2^3*251^1,251,1968,2^4*3^1*41^1,41,1076,2^2*269^1,269,1353,3^1*11^1*41^1,41,0,0,0,0,0,0,0,0,0,0,0,0
9,-2,-2,1,-2,1377,3^4*17^1,17,18252,2^2*3^3*13^2,13,1837,11^1*167^1,167,23452,2^2*11^1*13^1*41^1,41,0,0,0,0,0,0,0,1,0,0,0,0
10,-2,-2,1,-1,859,859^1,859,2924,2^2*17^1*43^1,43,593,593^1,593,2357,2357^1,2357,0,0,0,0,0,0,0,0,0,0,0,0
11,-2,-2,1,0,1721,1721^1,1721,1356,2^2*3^1*113^1,113,1343,17^1*79^1,79,1195,5^1*239^1,239,0,0,0,0,0,0,0,0,0,0,0,0
12,-2,-2,1,1,2187,3^7,3,5292,2^2*3^3*7^2,7,2524,2^2*631^1,631,5027,11^1*457^1,457,1,1,1,0,0,0,1,1,1,0,0,0
13,-2,-2,1,2,2497,11^1*227^1,227,29132,2^2*7283^1,7283,3485,5^1*17^1*41^1,41,22102,2^1*43^1*257^1,257,0,0,0,0,0,0,0,0,0,0,0,0
14,-2,-2,2,-1,648,2^3*3^4,3,3888,2^4*3^5,3,929,929^1,929,2676,2^2*3^1*223^1,223,1,1,1,0,0,0,1,1,1,0,0,0
15,-2,-2,2,1,2504,2^3*313^1,313,11824,2^4*739^1,739,3862,2^1*1931^1,1931,12021,3^1*4007^1,4007,0,0,0,0,0,0,0,0,0,0,0,0
16,-2,-1,-2,-2,6424,2^3*11^1*73^1,73,17624,2^3*2203^1,2203,6193,11^1*563^1,563,20678,2^1*7^2*211^1,211,0,0,0,0,0,0,0,0,0,0,0,0
17,-2,-1,-2,-1,1944,2^3*3^5,3,864,2^5*3^3,3,1982,2^1*991^1,991,674,2^1*337^1,337,1,1,1,0,0,0,1,1,1,0,0,0
18,-2,-1,-2,0,536,2^3*67^1,67,1176,2^3*3^1*7^2,7,810,2^1*3^4*5^1,5,1970,2^1*5^1*197^1,197,0,1,0,1,0,0,0,1,0,1,0,0
19,-2,-1,-2,1,88,2^3*11^1,11,4448,2^5*139^1,139,117,3^2*13^1,13,5137,11^1*467^1,467,0,0,0,0,0,0,1,0,0,1,0,0
20,-2,-1,-2,2,1944,2^3*3^5,3,27864,2^3*3^4*43^1,43,1253,7^1*179^1,179,29008,2^4*7^2*37^1,37,1,0,0,0,0,0,1,0,0,0,0,0
21,-2,-1,-1,-2,2403,3^3*89^1,89,9558,2^1*3^4*59^1,59,2293,2293^1,2293,16136,2^3*2017^1,2017,0,0,0,0,0,0,0,0,0,0,0,0
22,-2,-1,-1,-1,617,617^1,617,262,2^1*131^1,131,720,2^4*3^2*5^1,5,470,2^1*5^1*47^1,47,0,0,0,1,0,0,0,0,0,1,0,0
23,-2,-1,-1,0,243,3^5,3,278,2^1*139^1,139,150,2^1*3^1*5^2,5,414,2^1*3^2*23^1,23,1,0,0,1,0,0,1,0,0,1,0,0
24,-2,-1,-1,1,81,3^4,3,486,2^1*3^5,3,116,2^2*29^1,29,434,2^1*7^1*31^1,31,1,1,1,0,0,0,1,1,1,0,0,0
25,-2,-1,-1,2,1139,17^1*67^1,67,10774,2^1*5387^1,5387,1652,2^2*7^1*59^1,59,14844,2^2*3^1*1237^1,1237,0,0,0,0,0,0,0,0,0,0,0,0
26,-2,-1,0,-2,792,2^3*3^2*11^1,11,9112,2^3*17^1*67^1,67,825,3^1*5^2*11^1,11,10701,3^2*29^1*41^1,41,0,0,0,0,0,0,1,0,0,1,0,0
27,-2,-1,0,-1,136,2^3*17^1,17,576,2^6*3^2,3,160,2^5*5^1,5,853,853^1,853,0,1,0,1,0,0,0,1,0,1,0,0
28,-2,-1,0,0,216,2^3*3^3,3,216,2^3*3^3,3,236,2^2*59^1,59,245,5^1*7^2,7,1,1,1,0,1,0,1,1,1,0,1,0
29,-2,-1,0,1,264,2^3*3^1*11^1,11,64,2^6,2,393,3^1*131^1,131,71,71^1,71,0,1,0,0,0,0,1,1,1,0,0,0
30,-2,-1,0,2,1048,2^3*131^1,131,8088,2^3*3^1*337^1,337,1048,2^3*131^1,131,4490,2^1*5^1*449^1,449,0,0,0,0,0,0,0,0,0,0,0,0
31,-2,-1,1,-2,619,619^1,619,12854,2^1*6427^1,6427,536,2^3*67^1,67,16146,2^1*3^3*13^1*23^1,23,0,0,0,0,0,0,0,0,0,0,0,0
32,-2,-1,1,-1,81,3^4,3,486,2^1*3^5,3,65,5^1*13^1,13,274,2^1*137^1,137,1,1,1,0,0,0,1,1,1,1,0,0
33,-2,-1,1,0,251,251^1,251,246,2^1*3^1*41^1,41,224,2^5*7^1,7,172,2^2*43^1,43,0,0,0,1,0,0,0,0,0,1,0,0
34,-2,-1,1,1,313,313^1,313,1478,2^1*739^1,739,355,5^1*71^1,71,1896,2^3*3^1*79^1,79,0,0,0,0,0,0,0,0,0,0,0,0
35,-2,-1,1,2,891,3^4*11^1,11,15606,2^1*3^3*17^2,17,940,2^2*5^1*47^1,47,10120,2^3*5^1*11^1*23^1,23,0,0,0,0,0,0,1,0,0,0,0,0
36,-2,-1,2,-2,1944,2^3*3^5,3,27864,2^3*3^4*43^1,43,1827,3^2*7^1*29^1,29,26790,2^1*3^1*5^1*19^1*47^1,47,1,0,0,0,0,0,1,0,0,0,0,0
37,-2,-1,2,-1,536,2^3*67^1,67,2656,2^5*83^1,83,937,937^1,937,3147,3^1*1049^1,1049,0,0,0,0,0,0,0,0,0,0,0,0
38,-2,-1,2,0,408,2^3*3^1*17^1,17,1688,2^3*211^1,211,257,257^1,257,1605,3^1*5^1*107^1,107,0,0,0,0,0,0,0,0,0,0,0,0
39,-2,-1,2,1,216,2^3*3^3,3,7776,2^5*3^5,3,196,2^2*7^2,7,5820,2^2*3^1*5^1*97^1,97,1,1,1,1,0,0,1,1,1,1,0,0
40,-2,-1,2,2,536,2^3*67^1,67,41176,2^3*5147^1,5147,790,2^1*5^1*79^1,79,54828,2^2*3^2*1523^1,1523,0,0,0,0,0,0,0,0,0,0,0,0
41,-2,0,-2,-1,712,2^3*89^1,89,2832,2^4*3^1*59^1,59,637,7^2*13^1,13,3315,3^1*5^1*13^1*17^1,17,0,0,0,0,0,0,0,0,0,1,0,0
42,-2,0,-2,1,712,2^3*89^1,89,2832,2^4*3^1*59^1,59,936,2^3*3^2*13^1,13,3776,2^6*59^1,59,0,0,0,0,0,0,0,0,0,1,0,0
43,-2,0,-1,-2,849,3^1*283^1,283,12004,2^2*3001^1,3001,542,2^1*271^1,271,11900,2^2*5^2*7^1*17^1,17,0,0,0,0,0,0,0,0,0,0,0,0
44,-2,0,-1,-1,51,3^1*17^1,17,676,2^2*13^2,13,33,3^1*11^1,11,882,2^1*3^2*7^2,7,0,0,0,0,1,0,0,1,0,1,1,1
45,-2,0,-1,0,121,11^2,11,36,2^2*3^2,3,122,2^1*61^1,61,51,3^1*17^1,17,0,1,0,0,0,0,1,1,1,0,0,0
