mapping,p,u,exceptional,sample,batch,seed,nanoseconds_per_call
simple_swu,11,10,0,0,100,5402,4032.0
simple_swu,11,4,0,0,100,5402,3766.0
elligator2,11,7,1,0,100,5402,3472.0
elligator2,11,5,0,0,100,5402,2114.0
simple_swu,11,1,0,0,100,5402,2314.0
elligator2,11,2,0,0,100,5402,1893.0
simple_swu,11,6,0,0,100,5402,2269.0
elligator2,11,6,0,0,100,5402,1888.0
elligator2,11,8,0,0,100,5402,1865.0
elligator2,11,3,0,0,100,5402,1881.0
simple_swu,11,0,1,0,100,5402,2509.0
simple_swu,11,2,0,0,100,5402,2692.0
elligator2,11,9,0,0,100,5402,1988.0
elligator2,11,1,0,0,100,5402,1877.0
elligator2,11,10,0,0,100,5402,1876.0
simple_swu,11,7,0,0,100,5402,2324.0
simple_swu,11,8,1,0,100,5402,2279.0
simple_swu,11,3,1,0,100,5402,2269.0
simple_swu,11,5,0,0,100,5402,2403.0
simple_swu,11,9,0,0,100,5402,2320.0
elligator2,11,4,1,0,100,5402,1945.0
elligator2,11,0,0,0,100,5402,1953.0
elligator2,11,5,0,1,100,5402,1926.0
elligator2,11,0,0,1,100,5402,1922.0
simple_swu,11,0,1,1,100,5402,2280.0
elligator2,11,3,0,1,100,5402,1926.0
simple_swu,11,8,1,1,100,5402,2272.0
simple_swu,11,3,1,1,100,5402,2264.0
elligator2,11,4,1,1,100,5402,1930.0
elligator2,11,9,0,1,100,5402,1936.0
elligator2,11,1,0,1,100,5402,1879.0
simple_swu,11,5,0,1,100,5402,2321.0
elligator2,11,2,0,1,100,5402,1895.0
simple_swu,11,7,0,1,100,5402,2352.0
simple_swu,11,2,0,1,100,5402,2326.0
elligator2,11,8,0,1,100,5402,1906.0
simple_swu,11,9,0,1,100,5402,2342.0
simple_swu,11,1,0,1,100,5402,2330.0
simple_swu,11,10,0,1,100,5402,2551.0
simple_swu,11,4,0,1,100,5402,2531.0
simple_swu,11,6,0,1,100,5402,2313.0
elligator2,11,10,0,1,100,5402,1963.0
elligator2,11,6,0,1,100,5402,1992.0
elligator2,11,7,1,1,100,5402,1939.0
simple_swu,11,0,1,2,100,5402,2302.0
elligator2,11,3,0,2,100,5402,1937.0
simple_swu,11,9,0,2,100,5402,2419.0
elligator2,11,6,0,2,100,5402,1921.0
elligator2,11,10,0,2,100,5402,1886.0
simple_swu,11,1,0,2,100,5402,2346.0
elligator2,11,4,1,2,100,5402,2028.0
simple_swu,11,8,1,2,100,5402,2347.0
simple_swu,11,3,1,2,100,5402,2577.0
simple_swu,11,4,0,2,100,5402,3666.0
elligator2,11,0,0,2,100,5402,2543.0
simple_swu,11,10,0,2,100,5402,3022.0
elligator2,11,1,0,2,100,5402,2505.0
simple_swu,11,7,0,2,100,5402,3005.0
simple_swu,11,5,0,2,100,5402,3025.0
elligator2,11,7,1,2,100,5402,2534.0
elligator2,11,2,0,2,100,5402,2616.0
elligator2,11,5,0,2,100,5402,2444.0
simple_swu,11,6,0,2,100,5402,4448.0
elligator2,11,9,0,2,100,5402,3012.0
elligator2,11,8,0,2,100,5402,2756.0
simple_swu,11,2,0,2,100,5402,2389.0
simple_swu,11,1,0,3,100,5402,2329.0
elligator2,11,9,0,3,100,5402,1912.0
elligator2,11,0,0,3,100,5402,2110.0
elligator2,11,7,1,3,100,5402,2269.0
simple_swu,11,4,0,3,100,5402,2391.0
elligator2,11,2,0,3,100,5402,1855.0
simple_swu,11,0,1,3,100,5402,2252.0
elligator2,11,10,0,3,100,5402,1918.0
simple_swu,11,6,0,3,100,5402,2691.0
elligator2,11,4,1,3,100,5402,1892.0
elligator2,11,6,0,3,100,5402,1855.0
simple_swu,11,3,1,3,100,5402,2242.0
simple_swu,11,2,0,3,100,5402,2370.0
simple_swu,11,10,0,3,100,5402,2289.0
elligator2,11,3,0,3,100,5402,2647.0
simple_swu,11,9,0,3,100,5402,3448.0
simple_swu,11,8,1,3,100,5402,3542.0
simple_swu,11,5,0,3,100,5402,3482.0
elligator2,11,8,0,3,100,5402,2877.0
simple_swu,11,7,0,3,100,5402,3385.0
elligator2,11,5,0,3,100,5402,2530.0
elligator2,11,1,0,3,100,5402,2506.0
simple_swu,11,8,1,4,100,5402,3579.0
elligator2,11,4,1,4,100,5402,2987.0
simple_swu,11,1,0,4,100,5402,3679.0
elligator2,11,3,0,4,100,5402,3206.0
simple_swu,11,5,0,4,100,5402,3699.0
elligator2,11,1,0,4,100,5402,2611.0
elligator2,11,6,0,4,100,5402,2113.0
elligator2,11,10,0,4,100,5402,2380.0
simple_swu,11,3,1,4,100,5402,2618.0
simple_swu,11,10,0,4,100,5402,2481.0
elligator2,11,9,0,4,100,5402,1942.0
simple_swu,11,0,1,4,100,5402,3357.0
simple_swu,11,2,0,4,100,5402,2660.0
