mapping,family,p,curve_parameters,z,seed,inputs_tested,on_curve,oracle_matches,exceptional_inputs,candidate_1,candidate_2,candidate_3,schedule_variants,schedule_operations
svdw,ordinary,11,a=1;b=1,1,5403,11,11,11,2,6,2,3,1,44
svdw,j0,11,a=0;b=1,1,5403,11,11,11,2,9,2,0,1,44
svdw,j1728,11,a=1;b=0,10,5403,11,11,11,2,4,4,3,1,44
svdw,ordinary,13,a=1;b=1,11,5403,13,13,13,4,9,0,4,1,56
svdw,j0,13,a=0;b=1,2,5403,13,13,13,4,9,4,0,1,56
svdw,j1728,13,a=1;b=0,1,5403,13,13,13,0,11,2,0,1,56
svdw,ordinary,29,a=1;b=1,28,5403,29,29,29,4,14,6,9,1,56
svdw,j0,29,a=0;b=1,24,5403,29,29,29,0,19,6,4,1,56
svdw,j1728,29,a=1;b=0,5,5403,29,29,29,0,11,10,8,1,56
svdw,ordinary,37,a=1;b=1,1,5403,37,37,37,4,24,8,5,1,56
svdw,j0,37,a=0;b=1,2,5403,37,37,37,4,29,8,0,1,56
svdw,j1728,37,a=1;b=0,2,5403,37,37,37,4,12,12,13,1,56
